,5折交叉验证准确率,训练准确率,测试准确率
0,56.43,55.3,54.52
1,56.43,54.49,57.73
2,58.19,56.17,51.9
3,57.02,57.56,58.6
4,56.43,57.56,58.6
5,56.73,58.22,55.39
6,56.73,57.49,58.89
7,56.73,59.02,60.93
8,56.43,58.88,55.98
9,57.02,58.07,52.48
10,56.43,60.41,55.98
11,57.02,58.36,60.06
12,56.43,59.61,58.89
13,55.56,57.56,56.56
14,56.43,60.7,59.18
15,55.26,58.51,57.14
16,55.26,59.9,58.6
17,53.8,60.77,57.43
18,55.26,56.83,60.06
19,54.39,57.27,58.89
20,54.97,59.75,57.73
21,54.09,59.24,58.02
22,55.26,59.82,58.02
23,54.39,60.12,58.31
24,55.56,59.82,55.1
25,54.39,60.56,55.69
26,55.56,59.02,60.35
27,54.39,58.66,61.52
28,55.26,60.26,58.02
29,55.56,60.19,53.06
30,55.26,60.12,60.93
31,55.56,60.48,54.81
32,55.56,59.97,56.56
33,55.56,60.34,56.56
34,55.56,58.51,61.52
35,55.56,60.48,53.06
36,55.56,60.41,53.35
37,55.85,59.97,58.02
38,55.85,60.92,57.43
39,55.56,60.04,61.22
40,55.85,59.9,56.27
41,55.56,60.63,56.56
42,55.85,60.56,50.44
43,55.56,59.09,61.22
44,55.85,59.82,57.43
45,55.56,59.17,61.81
46,55.85,60.77,52.19
47,56.14,60.04,59.48
48,55.85,61.43,59.48
49,56.14,59.97,58.31
50,55.85,61.14,57.73
51,54.68,59.61,55.69
52,55.56,60.56,54.23
53,55.56,59.68,57.14
54,55.56,62.82,54.52
55,55.56,59.39,55.39
56,55.56,59.97,60.64
57,55.56,61.36,52.77
58,54.97,59.46,57.43
59,54.68,60.04,60.06
60,54.97,60.7,54.52
61,54.68,58.95,60.35
62,54.97,59.39,61.52
63,54.97,59.9,56.27
64,54.97,59.82,60.06
65,54.97,59.39,55.1
66,54.97,59.31,55.98
67,54.97,58.95,57.14
68,54.97,59.97,58.02
69,54.97,60.99,60.35
70,55.56,59.61,58.89
71,55.56,61.14,59.77
72,55.56,59.75,56.85
73,55.56,60.12,58.02
74,55.56,58.44,59.48
75,54.97,60.19,57.14
76,55.56,59.53,59.48
77,54.97,62.31,55.69
78,55.56,60.48,58.31
79,54.97,59.02,56.85
80,55.56,59.97,55.69
81,54.97,60.34,56.85
82,55.56,60.92,57.73
83,54.97,60.04,57.43
84,55.56,60.48,56.56
85,54.97,59.46,57.43
86,55.56,59.82,59.77
87,54.97,59.53,54.23
88,55.56,60.48,54.23
89,55.56,59.46,57.73
90,55.56,61.43,54.81
91,55.56,59.9,59.48
92,55.56,59.68,58.6
93,55.56,59.68,58.31
94,55.56,59.53,51.02
95,55.56,60.48,51.6
96,55.56,60.19,57.73
97,55.56,59.53,55.39
98,55.56,58.88,56.27
99,55.56,60.7,57.73
100,55.56,59.97,54.23
101,54.97,59.82,58.02
102,55.56,60.41,62.39
103,54.97,59.17,56.85
104,55.56,61.65,56.27
105,54.68,60.41,54.23
106,54.97,61.14,60.06
107,54.39,61.87,55.1
108,55.26,61.72,59.48
109,54.97,59.68,59.18
110,55.26,59.9,57.14
111,54.68,60.48,57.14
112,54.97,59.82,54.23
113,54.68,59.82,56.56
114,54.97,59.68,58.02
115,54.97,60.19,59.48
116,54.97,58.51,55.69
117,54.97,59.61,59.77
118,54.97,58.73,57.43
119,54.97,59.75,61.22
120,54.97,60.48,59.48
121,54.97,60.04,49.85
122,54.97,59.09,60.06
123,54.97,61.8,55.69
124,54.97,60.63,60.35
125,54.97,60.19,55.98
126,54.97,60.04,60.64
127,54.97,60.12,55.1
128,55.26,59.39,60.06
129,54.68,60.41,56.56
130,54.97,60.85,53.94
131,54.68,58.73,55.98
132,54.97,59.24,56.85
133,54.68,60.12,57.73
134,54.97,60.56,55.98
135,54.68,60.12,58.89
136,54.97,60.56,54.23
137,54.39,61.94,55.98
138,54.68,60.63,57.43
139,54.39,58.51,60.64
140,54.68,60.26,54.23
