trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield,label
2019-10-29,300799.SZ,25.78,30.93,25.78,30.93,21.48,9.45,43.9944,281.52,868.941,3.01,1.0
2019-10-29,300341.SZ,6.46,6.96,6.4,6.87,6.5,0.37,5.6923,102842.23,69166.008,1.18,1.0
2019-10-29,002761.SZ,8.06,8.06,7.72,7.72,8.03,-0.31,-3.8605,84182.2,65880.601,0.57,1.0
2019-10-29,603815.SH,13.11,13.11,13.11,13.11,11.92,1.19,9.9832,9595.73,12580.002,0.55,1.0
2019-10-29,300793.SZ,37.68,37.68,37.68,37.68,34.25,3.43,10.0146,3677.56,13857.046,0.38,1.0
2019-10-29,000609.SZ,4.86,4.93,4.72,4.74,4.87,-0.13,-2.6694,43906.0,21080.959,0.36,1.0
2019-10-29,300558.SZ,53.86,56.29,53.51,53.92,53.85,0.07,0.13,52829.09,289945.31,0.36,1.0
2019-10-29,603659.SH,51.31,51.96,50.61,51.75,51.3,0.45,0.8772,9580.79,49371.531,0.35,1.0
2019-10-29,603101.SH,6.01,6.02,5.85,5.85,6.01,-0.16,-2.6622,16685.6,9874.695,0.34,1.0
2019-10-29,002555.SZ,17.12,17.54,17.08,17.17,17.1,0.07,0.4094,166221.42,287483.177,0.33,1.0
2019-10-29,002332.SZ,8.7,8.85,8.5,8.5,8.74,-0.24,-2.7460000000000004,161900.99,139304.322,0.33,1.0
2019-10-29,002043.SZ,5.28,5.4,5.25,5.35,5.3,0.05,0.9434,106321.23,56845.707,0.32,1.0
2019-10-29,603555.SH,3.99,4.01,3.91,3.92,4.02,-0.1,-2.4876,36108.0,14331.251,0.31,1.0
2019-10-29,300598.SZ,81.16,82.7,74.98,78.55,83.31,-4.76,-5.7136,106674.65,830921.7459999998,0.31,1.0
2019-10-29,300709.SZ,61.0,62.38,59.3,59.77,59.78,-0.01,-0.0167,30646.41,186384.996,0.3,1.0
2019-10-29,000673.SZ,3.16,3.24,3.1,3.18,3.16,0.02,0.6329,274706.0,87390.826,0.3,1.0
2019-10-29,002351.SZ,10.01,10.54,9.75,10.1,9.58,0.52,5.428,625999.72,642276.731,0.3,1.0
2019-10-29,600397.SH,2.3,2.3,2.24,2.25,2.3,-0.05,-2.1739,46430.0,10498.251,0.29,1.0
2019-10-29,603179.SH,14.19,14.35,13.8,13.82,14.2,-0.38,-2.6761,11893.0,16673.166,0.28,1.0
2019-10-29,300207.SZ,13.36,13.51,12.72,12.82,13.42,-0.6,-4.4709,249093.6,324530.166,0.28,1.0
2019-10-29,000717.SZ,3.69,3.69,3.6,3.61,3.69,-0.08,-2.168,145779.74,52972.10400000001,0.27,1.0
