,date,code,name,closingPrice,maxPrice,minPrice,openingPrice,previousClose,change,quoteChange,turnoverRate,volume,turnover,totalMarketCapitalization,marketCapitalization,yield
0,2020-02-14,600006,东风汽车,3.87,3.9,3.85,3.86,3.9,-0.03,-0.7692,0.3988,7976900.0,30859932.0,7740000000.0,7740000000.0,
1,2020-02-13,600006,东风汽车,3.9,3.97,3.89,3.96,3.96,-0.06,-1.5152,0.5757,11513600.0,45134195.0,7800000000.0,7800000000.0,
2,2020-02-12,600006,东风汽车,3.96,3.97,3.91,3.95,3.96,0.0,0.0,0.4918,9835256.0,38755293.0,7920000000.0,7920000000.0,
3,2020-02-11,600006,东风汽车,3.96,3.99,3.88,3.98,3.94,0.02,0.5076,0.6864,13728400.0,54207258.0,7920000000.0,7920000000.0,
4,2020-02-10,600006,东风汽车,3.94,3.95,3.74,3.79,3.79,0.15,3.9578,0.8565,17129481.0,66195801.0,7880000000.0,7880000000.0,
5,2020-02-07,600006,东风汽车,3.79,3.82,3.74,3.78,3.8,-0.01,-0.2632,0.6234,12467937.0,47077127.0,7580000000.0,7580000000.0,
6,2020-02-06,600006,东风汽车,3.8,3.84,3.75,3.81,3.77,0.03,0.7958,0.6428,12856271.0,48747633.0,7600000000.0,7600000000.0,
7,2020-02-05,600006,东风汽车,3.77,3.84,3.7,3.7,3.69,0.08,2.168,0.6782,13563279.0,51318688.0,7540000000.0,7540000000.0,
8,2020-02-04,600006,东风汽车,3.69,3.78,3.53,3.53,3.92,-0.23,-5.8673,1.3435,26869701.0,98847558.0,7380000000.0,7380000000.0,
9,2020-02-03,600006,东风汽车,3.92,3.92,3.92,3.92,4.35,-0.43,-9.8851,0.1441,2881400.0,11295088.0,7840000000.0,7840000000.0,
10,2020-01-23,600006,东风汽车,4.35,4.47,4.3,4.47,4.5,-0.15,-3.3333,0.6077,12154523.0,53299180.0,8700000000.0,8700000000.0,
11,2020-01-22,600006,东风汽车,4.5,4.54,4.42,4.51,4.51,-0.01,-0.2217,0.4631,9261963.0,41462438.0,9000000000.0,9000000000.0,
12,2020-01-21,600006,东风汽车,4.51,4.63,4.51,4.61,4.63,-0.12,-2.5918,0.5043,10085155.0,45863790.0,9020000000.0,9020000000.0,
13,2020-01-20,600006,东风汽车,4.63,4.67,4.6,4.64,4.64,-0.01,-0.2155,0.4113,8226612.0,38041515.0,9260000000.0,9260000000.0,
14,2020-01-17,600006,东风汽车,4.64,4.67,4.56,4.59,4.58,0.06,1.31,0.4503,9006130.0,41549683.0,9280000000.0,9280000000.0,
15,2020-01-16,600006,东风汽车,4.58,4.64,4.58,4.61,4.61,-0.03,-0.6508,0.3052,6103800.0,28115561.0,9160000000.0,9160000000.0,
16,2020-01-15,600006,东风汽车,4.61,4.7,4.61,4.68,4.7,-0.09,-1.9149,0.4913,9826900.0,45622593.0,9220000000.0,9220000000.0,
17,2020-01-14,600006,东风汽车,4.7,4.79,4.69,4.72,4.74,-0.04,-0.8439,0.7942,15884615.0,75284174.0,9400000000.0,9400000000.0,
18,2020-01-13,600006,东风汽车,4.74,4.77,4.67,4.67,4.64,0.1,2.1552,0.7546,15091373.0,71321502.0,9480000000.0,9480000000.0,
19,2020-01-10,600006,东风汽车,4.64,4.72,4.64,4.7,4.7,-0.06,-1.2766,0.4782,9564300.0,44601910.0,9280000000.0,9280000000.0,
