trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield,label
2018-09-26,300748.SZ,9.39,9.39,9.39,9.39,8.54,0.85,9.9532,337.78,317.175,1.91,1.0
2018-09-26,002937.SZ,11.93,14.31,11.93,14.31,9.94,4.37,43.9638,339.83,482.806,0.93,1.0
2018-09-26,000622.SZ,3.39,3.39,3.3,3.32,3.3,0.02,0.6061,11914.83,3965.62,0.67,1.0
2018-09-26,300749.SZ,19.36,19.36,19.36,19.36,17.6,1.76,10.0,137.44,266.083,0.54,1.0
2018-09-26,000918.SZ,5.9,5.92,5.86,5.88,5.9,-0.02,-0.339,24116.0,14201.196000000002,0.42,1.0
2018-09-26,000750.SZ,3.43,3.47,3.4,3.41,3.45,-0.04,-1.1594,173849.43,59588.35400000001,0.39,1.0
2018-09-26,603718.SH,8.9,9.08,8.61,8.76,8.83,-0.07,-0.7928,169362.95,149422.62900000002,0.38,1.0
2018-09-26,002931.SZ,29.31,29.5,28.88,29.18,29.3,-0.12,-0.4096,14752.46,43000.076,0.33,1.0
2018-09-26,600695.SH,3.41,3.41,3.37,3.4,3.39,0.01,0.295,60219.01,20455.341,0.31,1.0
2018-09-26,603089.SH,16.44,16.57,16.2,16.39,16.55,-0.16,-0.9668,3649.0,5983.632,0.29,1.0
2018-09-26,002726.SZ,7.0,7.06,6.92,7.01,6.99,0.02,0.2861,25148.9,17620.393,0.29,1.0
2018-09-26,600532.SH,3.57,3.69,3.56,3.59,3.54,0.05,1.4124,146243.97,53039.249,0.28,1.0
2018-09-26,002923.SZ,23.26,25.66,23.04,25.66,23.33,2.33,9.9871,59639.67,150958.15,0.27,1.0
2018-09-26,300538.SZ,18.65,18.96,18.55,18.68,18.78,-0.1,-0.5325,3734.5,7002.85,0.26,1.0
2018-09-26,601099.SH,2.27,2.3,2.26,2.27,2.27,0.0,0.0,268547.88,61266.45200000001,0.26,1.0
2018-09-26,600156.SH,3.94,3.99,3.92,3.95,3.93,0.02,0.5089,19545.0,7733.758000000002,0.25,1.0
2018-09-26,600766.SH,5.58,5.66,5.57,5.62,5.61,0.01,0.1783,72929.32,40877.071,0.25,1.0
2018-09-26,300394.SZ,20.65,20.7,19.25,20.67,21.33,-0.66,-3.0942,56018.53,112331.248,0.24,1.0
2018-09-26,603505.SH,11.55,11.63,11.45,11.57,11.55,0.02,0.1732,14922.0,17252.291,0.24,1.0
2018-09-26,603076.SH,26.26,26.32,25.8,26.1,26.09,0.01,0.0383,6302.0,16442.881,0.22,1.0
2018-09-26,300508.SZ,23.24,23.37,23.0,23.27,23.25,0.02,0.086,3508.99,8136.679,0.22,1.0
2018-09-26,002857.SZ,10.82,10.96,10.75,10.9,10.82,0.08,0.7394,10308.4,11174.755,0.21,1.0
2018-09-26,002607.SZ,8.24,8.38,8.1,8.18,8.3,-0.12,-1.4458,489200.49,401809.039,0.2,1.0
2018-09-26,000416.SZ,3.91,3.99,3.91,3.94,3.93,0.01,0.2545,38931.01,15397.231000000002,0.19,1.0
2018-09-26,300736.SZ,20.98,21.28,20.64,21.0,20.94,0.06,0.2865,10632.21,22269.06,0.19,1.0
2018-09-26,002863.SZ,6.5,6.52,6.37,6.41,6.44,-0.03,-0.4658,24653.1,15830.258999999998,0.19,1.0
2018-09-26,000659.SZ,2.68,2.8,2.66,2.7,2.7,0.0,0.0,189470.18,51620.004,0.18,1.0
2018-09-26,000606.SZ,5.34,5.43,5.3,5.37,5.34,0.03,0.5618,32659.0,17539.624,0.18,1.0
2018-09-26,600026.SH,4.44,4.46,4.37,4.39,4.43,-0.04,-0.9029,112587.58,49767.025,0.18,1.0
2018-09-26,600448.SH,3.78,3.83,3.73,3.8,3.75,0.05,1.3333,154799.22,58308.71,0.17,1.0
2018-09-26,300668.SZ,18.09,18.25,17.85,18.04,18.02,0.02,0.111,8408.01,15171.13,0.17,1.0
2018-09-26,600311.SH,2.95,2.97,2.92,2.93,2.94,-0.01,-0.3401,44787.0,13192.181,0.17,1.0
2018-09-26,002813.SZ,24.3,24.59,24.23,24.39,24.2,0.19,0.7851,13288.54,32422.795,0.17,1.0
2018-09-26,601218.SH,2.58,2.62,2.58,2.6,2.59,0.01,0.3861,22598.0,5891.623000000001,0.17,1.0
2018-09-26,603701.SH,10.56,10.66,10.52,10.54,10.56,-0.02,-0.1894,3588.0,3799.929,0.16,1.0
2018-09-26,002687.SZ,5.3,5.31,5.26,5.29,5.26,0.03,0.5703,14033.5,7415.529,0.16,1.0
2018-09-26,000505.SZ,5.38,5.42,5.36,5.38,5.41,-0.03,-0.5545,15221.0,8198.005,0.16,1.0
2018-09-26,300514.SZ,11.85,11.96,11.76,11.84,11.83,0.01,0.0845,24043.0,28525.872000000007,0.16,1.0
2018-09-26,002862.SZ,16.7,16.83,16.61,16.7,16.67,0.03,0.18,6583.0,11003.68,0.16,1.0
2018-09-26,600161.SH,18.29,18.81,18.11,18.58,18.31,0.27,1.4746,46040.15,85231.243,0.15,1.0
2018-09-26,000813.SZ,7.91,7.93,7.87,7.92,7.9,0.02,0.2532,21790.12,17216.143,0.15,1.0
2018-09-26,600489.SH,6.82,6.94,6.82,6.85,6.8,0.05,0.7353,296288.52,203762.687,0.15,1.0
2018-09-26,300531.SZ,14.46,14.7,14.38,14.62,14.4,0.22,1.5278,20319.18,29616.7,0.15,1.0
2018-09-26,600259.SH,23.71,24.36,23.71,23.95,23.8,0.15,0.6303,38287.9,91971.156,0.15,1.0
2018-09-26,300626.SZ,8.5,8.7,8.21,8.6,8.47,0.13,1.5348,21373.55,18207.283,0.15,1.0
2018-09-26,300680.SZ,18.38,18.9,18.13,18.43,18.38,0.05,0.272,12008.38,22199.299,0.15,1.0
2018-09-26,300130.SZ,10.58,10.72,10.5,10.58,10.52,0.06,0.5703,21526.71,22884.445,0.14,1.0
2018-09-26,300436.SZ,25.05,25.25,24.97,25.05,25.02,0.03,0.1199,3776.9,9479.097,0.14,1.0
2018-09-26,300550.SZ,35.35,35.49,34.81,35.29,35.43,-0.14,-0.3951,5244.0,18446.722,0.14,1.0
2018-09-26,300230.SZ,4.82,4.87,4.81,4.83,4.82,0.01,0.2075,37743.8,18263.621,0.14,1.0
2018-09-26,600369.SH,3.59,3.63,3.57,3.59,3.58,0.01,0.2793,89822.14,32370.24,0.14,1.0
2018-09-26,000656.SZ,5.23,5.3,5.19,5.28,5.19,0.09,1.7341,134943.4,70941.125,0.14,1.0
2018-09-26,601375.SH,4.23,4.27,4.21,4.22,4.22,0.0,0.0,93361.55,39612.434,0.14,1.0
2018-09-26,600116.SH,7.03,7.13,7.01,7.02,7.01,0.01,0.1427,59237.2,41816.179,0.14,1.0
2018-09-26,300492.SZ,22.92,22.95,22.6,22.73,22.96,-0.23,-1.0017,11501.21,26177.81,0.13,1.0
2018-09-26,603303.SH,10.6,10.6,10.49,10.5,10.54,-0.04,-0.3795,5688.98,5995.701999999998,0.13,1.0
2018-09-26,002199.SZ,7.39,7.45,7.36,7.41,7.39,0.02,0.2706,7200.02,5335.846,0.13,1.0
2018-09-26,300642.SZ,40.26,40.85,40.11,40.49,40.26,0.23,0.5713,4528.43,18370.661,0.13,1.0
2018-09-26,300662.SZ,23.0,23.0,22.38,22.65,22.83,-0.18,-0.7884,21137.84,47736.333,0.13,1.0
2018-09-26,603131.SH,13.13,13.35,13.13,13.26,13.23,0.03,0.2268,2443.38,3248.276,0.12,1.0
2018-09-26,300010.SZ,7.29,7.87,7.28,7.68,7.28,0.4,5.4945,267422.17,202594.227,0.12,1.0
2018-09-26,002853.SZ,17.07,17.21,16.95,17.02,17.06,-0.04,-0.2345,5450.0,9320.854,0.12,1.0
2018-09-26,603538.SH,14.27,14.66,14.21,14.6,14.19,0.41,2.8894,12811.83,18616.77,0.12,1.0
