trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-09-23,000001.SZ,15.34,15.47,15.18,15.38,15.34,0.04,0.2608,1403282.0,2148740.4480000003
2019-09-23,000002.SZ,26.49,26.49,26.0,26.15,26.8,-0.65,-2.4254,603530.46,1578059.535
2019-09-23,000004.SZ,20.36,20.65,19.61,20.04,21.03,-0.99,-4.7076,29893.32,59837.83900000001
2019-09-23,000005.SZ,3.37,3.37,3.27,3.3,3.37,-0.07,-2.0772,111437.3,36714.744
2019-09-23,000006.SZ,5.34,5.4,5.21,5.38,5.32,0.06,1.1278,136997.47,72599.425
2019-09-23,000007.SZ,8.07,8.15,8.06,8.09,8.07,0.02,0.2478,52722.3,42683.325999999994
2019-09-23,000008.SZ,3.99,4.25,3.9,4.03,3.96,0.07,1.7677,1625693.79,662271.328
2019-09-23,000009.SZ,4.7,4.71,4.53,4.6,4.72,-0.12,-2.5424,240618.35,110281.337
2019-09-23,000011.SZ,10.48,10.76,10.45,10.61,10.28,0.33,3.2101,77317.15,81691.585
2019-09-23,000012.SZ,4.55,4.57,4.46,4.51,4.55,-0.04,-0.8791,126710.11,56934.72
2019-09-23,000014.SZ,10.08,10.41,10.03,10.37,10.08,0.29,2.877,68048.5,69683.329
2019-09-23,000016.SZ,4.38,4.38,4.29,4.34,4.38,-0.04,-0.9132,107697.72,46642.147000000004
2019-09-23,000017.SZ,5.05,5.14,4.97,5.12,5.09,0.03,0.5894,93335.59,47096.509000000005
2019-09-23,000019.SZ,6.55,6.55,6.37,6.45,6.54,-0.09,-1.3761,36008.73,23184.086
2019-09-23,000020.SZ,11.74,12.08,11.55,12.05,11.69,0.36,3.0796,27184.99,32394.374
2019-09-23,000021.SZ,12.39,12.83,12.0,12.78,12.43,0.35,2.8158,803382.79,1008478.757
2019-09-23,000023.SZ,13.9,14.0,13.5,14.0,13.97,0.03,0.2147,22329.4,30714.474
2019-09-23,000025.SZ,21.34,22.36,21.13,21.98,21.64,0.34,1.5712,86876.94,188867.824
2019-09-23,000026.SZ,7.82,7.86,7.64,7.73,7.86,-0.13,-1.6539,29594.26,22794.232000000004
2019-09-23,000027.SZ,5.98,5.98,5.87,5.9,5.99,-0.09,-1.5025,68892.18,40642.632000000005
2019-09-23,000028.SZ,46.75,46.85,45.71,46.0,47.03,-1.03,-2.1901,18990.43,87402.07199999999
2019-09-23,000030.SZ,4.87,4.87,4.78,4.83,4.87,-0.04,-0.8214,31344.13,15061.829
2019-09-23,000031.SZ,7.13,7.15,6.85,6.98,7.04,-0.06,-0.8523,157602.91,109901.784
2019-09-23,000032.SZ,12.12,12.38,12.02,12.37,12.3,0.07,0.5691,67948.76,82862.519
2019-09-23,000034.SZ,17.01,17.17,16.66,16.92,17.13,-0.21,-1.2259,113728.75,192437.742
2019-09-23,000035.SZ,6.12,6.12,5.86,5.9,6.1,-0.2,-3.2787,161707.0,96109.582
2019-09-23,000036.SZ,4.33,4.33,4.22,4.25,4.33,-0.08,-1.8476,60872.31,25944.308999999997
2019-09-23,000037.SZ,14.16,14.5,13.88,14.18,14.16,0.02,0.1412,26105.0,36970.837999999996
