ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,label
002239.SZ,2.06,2.09,2.02,2.02,2.08,-0.06,-2.8846,1.7447783694088188,0.2899983073056738,1.0
300160.SZ,4.33,4.34,4.21,4.21,4.33,-0.12,-2.7714,0.5773669915788894,-0.24184072407431717,1.0
300578.SZ,27.78,28.15,26.68,26.98,28.23,-1.25,-4.4279,-0.5977020226485084,0.08979605092145222,1.0
002838.SZ,11.38,12.29,11.31,12.0,11.39,0.61,5.3556,0.4358372445945251,0.4134044655894454,1.0
002613.SZ,2.93,2.94,2.86,2.87,2.94,-0.07,-2.381,-0.318777257321381,-1.3879773917060774,1.0
000016.SZ,4.6,4.66,4.54,4.6,4.65,-0.05,-1.0753,0.9008493978516218,0.12192526494122036,1.0
000652.SZ,4.4,4.4,4.4,4.4,4.0,0.4,10.0,1.0749303021309482,0.2514023698570615,1.0
300342.SZ,10.4,10.55,10.18,10.28,10.52,-0.24,-2.2814,0.4469386595572531,0.31863062516386303,1.0
002160.SZ,3.65,3.67,3.55,3.55,3.68,-0.13,-3.5326,0.8334886052059067,-0.13148075400550746,1.0
002214.SZ,12.28,13.14,12.19,12.82,12.03,0.79,6.5669,1.5120860395641906,1.4765728062453418,1.0
002255.SZ,3.16,3.19,3.14,3.15,3.19,-0.04,-1.2539,-0.3250654274196084,-1.3230105175244375,1.0
300390.SZ,6.88,7.27,6.8,7.09,6.89,0.2,2.9028,0.8390640482328589,0.39070829754248293,1.0
300236.SZ,31.88,34.75,31.4,33.72,32.16,1.56,4.8507,1.173065059562064,1.9062127489427574,1.0
603726.SH,12.1,12.19,11.98,12.04,12.18,-0.14,-1.1494,-2.0038295977221057,-1.8675767820628784,1.0
300548.SZ,70.94,72.0,68.9,69.21,70.81,-1.6,-2.2596,-1.7167969686584523,-0.23896688257467869,1.0
300123.SZ,8.32,8.88,8.3,8.59,8.22,0.37,4.5012,1.7195710696556203,1.3733402483551551,1.0
002950.SZ,28.36,28.36,27.59,28.36,25.78,2.58,10.0078,0.3331438441890537,0.9866461887252755,1.0
300235.SZ,14.73,14.76,14.25,14.33,14.86,-0.53,-3.5666,-0.18536267745074547,-0.019037374968436622,1.0
600237.SH,3.57,3.65,3.55,3.56,3.6,-0.04,-1.1111,-0.12974100170422007,-1.0397390394685333,1.0
300499.SZ,12.41,12.78,12.18,12.76,12.41,0.35,2.8203,-0.6734732601255369,-0.5891351798129891,1.0
002185.SZ,9.23,9.47,9.08,9.13,9.33,-0.2,-2.1436,2.655580991636083,2.3131264497386255,1.0
688166.SH,42.4,42.4,40.2,40.88,42.05,-1.17,-2.7824,-0.982503940097094,0.03443688040010299,1.0
300658.SZ,15.55,15.91,15.38,15.62,15.55,0.07,0.4502,-1.168873115724606,-0.8778352667471208,1.0
300051.SZ,6.55,6.55,6.35,6.35,6.57,-0.22,-3.3486,-0.1886254067599026,-0.6448826359385811,1.0
002328.SZ,4.19,4.44,4.12,4.24,4.14,0.1,2.4155,0.8045617264711282,-0.028256897534109857,1.0
603200.SH,20.96,21.85,20.6,21.5,21.0,0.5,2.381,-0.7697412031732557,-0.2753809222664405,1.0
002824.SZ,11.77,11.77,11.21,11.37,11.77,-0.4,-3.3985,-1.1211804407922539,-1.0786926996481787,1.0
002429.SZ,3.95,4.09,3.88,3.9,4.0,-0.1,-2.5,2.0047427858241513,1.0473067577771389,1.0
002413.SZ,5.88,5.93,5.75,5.76,5.89,-0.13,-2.2071,0.9006290572475181,0.3042769501562913,1.0
000004.SZ,23.47,23.98,22.98,23.55,23.33,0.22,0.943,-0.8143914289727975,-0.2344728165344265,1.0
300102.SZ,4.82,4.87,4.76,4.77,4.84,-0.07,-1.4463,-0.39271972263910243,-1.0614164845082135,1.0
600318.SH,6.72,6.74,6.6,6.61,6.77,-0.16,-2.3634,-0.6282525672780493,-1.030593323570866,1.0
300363.SZ,17.17,17.45,16.48,16.76,17.06,-0.3,-1.7585,0.037349715400063974,0.3147410411415666,1.0
603079.SH,37.45,37.81,36.94,37.45,37.45,0.0,0.0,-1.4583484823516133,-0.484093863358088,1.0
002837.SZ,32.22,34.88,30.6,30.9,32.26,-1.36,-4.2157,1.1214091319492512,1.837578246120905,1.0
603301.SH,26.57,26.57,26.03,26.57,24.15,2.42,10.0207,0.20250245487646093,0.816989367110225,1.0
002436.SZ,9.5,10.4,9.35,10.4,9.45,0.95,10.0529,2.470453481135058,2.200985032345355,1.0
603005.SH,72.13,79.2,71.13,77.25,72.26,4.99,6.9056,0.9261833823138717,2.2985043866486405,1.0
300677.SZ,26.07,27.19,24.1,24.7,25.0,-0.3,-1.2,0.13410169238537736,0.7341841559902053,1.0
600988.SH,5.62,5.81,5.59,5.72,5.61,0.11,1.9608,2.2107430019838508,1.5213808787394913,1.0
002414.SZ,30.2,32.1,29.24,32.1,29.18,2.92,10.0069,0.9651103156007637,1.6534126859018412,1.0
300155.SZ,5.58,5.72,5.53,5.64,5.63,0.01,0.1776,-0.095225239482314,-0.6596944991439884,1.0
300046.SZ,16.71,17.79,16.7,17.3,16.67,0.63,3.7792,1.2139621124888649,1.4366887202507055,1.0
000158.SZ,7.74,7.99,7.5,7.73,7.6,0.13,1.7105,2.0707456065373315,1.624850964464562,1.0
603613.SH,78.42,81.78,77.6,78.67,78.6,0.07,0.0891,-0.9776287196189334,0.5568490479648425,1.0
300813.SZ,42.56,42.56,42.56,42.56,38.69,3.87,10.0026,-3.648774407264178,-2.994587732703757,1.0
002326.SZ,11.0,11.08,10.76,10.91,11.05,-0.14,-1.2670000000000001,1.2253943631448745,1.0932911650871735,1.0
000973.SZ,4.62,4.62,4.44,4.49,4.65,-0.16,-3.4409,1.11234479133105,0.3059025378070386,1.0
600200.SH,5.77,6.09,5.73,6.09,5.54,0.55,9.9278,1.2217663253163273,0.6191005648344119,1.0
600667.SH,9.48,9.76,9.4,9.53,9.58,-0.05,-0.5219,1.995370249947526,1.7166658566723345,1.0
300455.SZ,12.34,13.3,12.13,12.78,12.34,0.44,3.5656,0.8925018509193017,0.8865954730053437,1.0
300324.SZ,7.23,7.23,6.68,6.91,7.25,-0.34,-4.6897,2.114525660887678,1.577380614061233,1.0
300230.SZ,4.91,4.93,4.79,4.82,4.95,-0.13,-2.6263,0.8653851141620004,0.12992075673775227,1.0
002791.SZ,37.93,39.26,37.75,38.43,37.93,0.5,1.3182,-1.092426489762779,-0.11154941695017956,1.0
002662.SZ,2.68,2.72,2.65,2.67,2.7,-0.03,-1.1111,0.052603522448832624,-1.0942322129821147,1.0
300555.SZ,9.46,9.5,9.26,9.27,9.52,-0.25,-2.6261,-0.7537899686156058,-0.889389174673089,1.0
002481.SZ,8.38,8.67,8.31,8.47,8.37,0.1,1.1947,1.326736618839551,0.9975247381397224,1.0
002023.SZ,12.7,12.89,12.58,12.83,12.76,0.07,0.5486,1.0029165293117883,1.0042837793301698,1.0
002156.SZ,20.01,21.01,19.92,20.4,20.47,-0.07,-0.342,1.5173328455061181,1.8526642025879867,1.0
300253.SZ,16.35,16.56,16.12,16.21,16.42,-0.21,-1.2789,0.8848682654264578,1.0814097890246148,1.0
300803.SZ,42.0,43.48,41.63,42.49,42.35,0.14,0.3306,-0.05920938462562852,0.9349230500353475,1.0
300763.SZ,49.57,50.1,48.7,49.2,49.56,-0.36,-0.7264,-1.568663567613231,-0.3731364701445693,1.0
300654.SZ,11.54,11.65,11.34,11.34,11.54,-0.2,-1.7331,-1.3693884592135097,-1.314253335691408,1.0
300010.SZ,14.22,14.59,13.75,14.0,14.24,-0.24,-1.6854,0.9862625200880879,1.0733456069326095,1.0
000938.SZ,34.5,34.75,33.88,34.0,34.85,-0.85,-2.439,0.38693638215369097,1.1867927823055615,1.0
002301.SZ,13.09,13.22,12.72,12.94,13.23,-0.29,-2.1919999999999997,-0.266780466701753,-0.18302605428780652,1.0
300671.SZ,23.89,24.88,23.2,23.63,24.04,-0.41,-1.7055,0.269375603117497,0.7977523209870543,1.0
601698.SH,12.59,12.83,12.15,12.62,12.62,0.0,0.0,1.7504624015536507,1.6901515545087058,1.0
300502.SZ,49.27,51.57,48.87,49.85,49.27,0.58,1.1772,0.4250208655391123,1.5193455992374254,1.0
002483.SZ,4.36,4.44,4.35,4.42,4.4,0.02,0.4545,0.4358166002720873,-0.35010373337317857,1.0
603283.SH,41.0,42.66,39.72,41.52,38.84,2.68,6.9001,0.14865719827641186,1.1034615590719552,1.0
603131.SH,16.03,16.05,15.42,15.63,16.01,-0.38,-2.3735,-1.1538627813520737,-0.8642962368692498,1.0
688258.SH,92.0,95.13,86.0,87.05,92.85,-5.8,-6.2466,-1.0217383330035816,0.6136745094158359,1.0
000636.SZ,17.35,17.97,17.22,17.65,17.46,0.19,1.0882,1.6104394890805342,1.8300996985970284,1.0
300767.SZ,56.86,62.59,56.52,62.59,56.9,5.69,10.0,-0.6808027844752516,0.6275933590385185,1.0
600513.SH,11.04,11.04,11.04,11.04,10.04,1.0,9.9602,-1.2252505267953506,-1.2041119643955724,1.0
000566.SZ,6.51,6.98,6.39,6.78,6.39,0.39,6.1033,1.4365258050448098,0.914117846277092,1.0
300030.SZ,7.35,7.87,7.34,7.87,7.15,0.72,10.0699,1.0547140598072218,0.6689420422289003,1.0
002460.SZ,42.02,42.67,41.27,41.3,42.56,-1.26,-2.9605,1.116883423988665,2.0288338097163074,1.0
000021.SZ,14.4,14.64,14.0,14.16,14.39,-0.23,-1.5983,1.4521241605375699,1.5143042074831514,1.0
603189.SH,21.38,23.44,21.25,22.2,21.67,0.53,2.4458,0.5051452476151973,0.9696444562429886,1.0
002223.SZ,22.2,22.95,21.88,22.61,21.41,1.2,5.6049,1.3371169753149135,1.7534716051062638,1.0
603986.SH,261.5,277.77,259.0,271.42,276.0,-4.58,-1.6594,0.19590727156056528,2.59430966327197,1.0
002683.SZ,24.0,24.95,23.57,24.42,23.97,0.45,1.8773,0.6996535978945285,1.2163281234421564,1.0
000518.SZ,4.54,4.54,4.54,4.54,4.13,0.41,9.9274,-0.1205365210736971,-0.8498578180106379,1.0
