date,open,high,close,low,volume,p_change
2017-10-09,15.37,15.75,15.35,15.23,803047.44,1.72
2017-10-10,15.36,15.49,14.76,14.13,2564017.5,-3.84
2017-10-11,14.6,15.08,14.8,14.52,1048978.25,0.27
2017-10-12,14.86,15.63,15.62,14.85,1046281.69,5.54
2017-10-13,15.7,16.26,15.93,15.56,1278592.88,1.99
2017-10-16,15.97,16.4,15.92,15.91,648415.19,-0.06
2017-10-17,16.05,16.27,16.11,15.79,606106.62,1.19
2017-10-18,16.11,16.47,16.45,15.97,694284.88,2.11
2017-10-19,16.37,16.59,16.56,16.16,637030.56,0.67
2017-10-20,16.46,16.46,16.08,16.03,458600.94,-2.9
2017-10-23,16.11,16.23,16.13,15.93,343186.53,0.31
2017-10-24,16.0,16.45,16.38,15.97,424283.12,1.55
2017-10-25,16.29,17.06,16.99,16.27,710117.69,3.72
2017-10-26,16.99,17.47,16.58,16.45,1177209.5,-2.41
2017-10-27,16.66,16.87,16.72,16.49,635021.0,0.84
2017-10-30,16.7,17.09,16.97,16.4,711666.31,1.5
2017-10-31,17.03,17.44,17.3,16.84,1026126.31,1.95
2017-11-01,17.25,17.4,16.83,16.73,968811.62,-2.72
2017-11-02,16.76,16.95,16.87,16.52,496928.91,0.24
2017-11-03,16.82,17.33,16.98,16.79,594306.25,0.65
2017-11-06,17.0,18.15,18.12,16.9,1238016.5,6.71
2017-11-07,18.08,18.36,17.97,17.72,992948.88,-0.83
2017-11-08,18.04,18.8,18.07,17.78,1227606.62,0.56
2017-11-09,18.14,19.04,18.96,17.98,1067747.12,4.92
2017-11-10,18.71,19.29,19.18,18.66,1009023.38,1.16
2017-11-13,19.28,19.37,19.07,18.87,919566.25,-0.68
2017-11-14,19.05,19.23,18.71,18.45,708178.19,-1.89
2017-11-15,18.65,19.15,19.1,18.34,792253.19,2.25
2017-11-16,18.99,19.22,19.19,18.64,619611.25,0.42
2017-11-17,19.1,19.36,19.27,18.77,1038424.19,0.47
2017-11-20,19.0,19.07,19.06,18.3,761409.31,-1.04
2017-11-21,18.94,20.31,20.24,18.86,1208793.12,6.25
2017-11-22,20.25,20.3,20.0,19.65,904181.62,-1.19
2017-11-23,19.84,19.88,18.68,18.54,1116362.75,-6.6
2017-11-24,18.69,18.72,18.66,17.8,1085244.12,0.05
2017-11-27,18.4,18.43,18.34,17.86,756257.44,-1.72
2017-11-28,18.23,18.5,18.36,18.02,432557.81,0.27
2017-11-29,18.42,18.5,17.57,17.3,865956.5,-4.25
2017-11-30,17.3,17.76,17.29,17.09,635422.0,-1.59
2017-12-01,17.41,17.59,17.34,17.22,423546.81,0.29
2017-12-04,17.34,17.85,17.64,17.2,612529.06,1.79
2017-12-05,17.57,18.13,17.98,17.5,1061352.75,1.87
2017-12-06,17.9,17.92,17.74,17.37,475380.44,-1.39
2017-12-07,17.55,17.79,17.4,17.0,401370.44,-1.92
2017-12-08,17.36,17.99,17.82,17.33,499869.91,2.65
2017-12-11,17.81,18.43,18.4,17.78,685959.88,3.2
2017-12-12,18.32,18.63,17.94,17.94,506722.03,-2.55
2017-12-13,17.94,18.84,18.83,17.92,719076.19,4.84
2017-12-14,18.75,18.85,18.85,18.46,473450.84,0.16
2017-12-15,18.68,18.75,18.51,18.35,414177.06,-1.7
2017-12-18,18.4,18.96,18.89,18.36,624299.31,2.0
2017-12-19,18.79,19.18,19.03,18.74,445012.97,0.74
2017-12-20,19.02,19.67,19.24,18.94,582282.75,1.05
2017-12-21,19.22,19.57,19.43,19.1,456875.97,0.94
2017-12-22,19.29,19.6,19.28,19.06,332636.31,-0.72
2017-12-25,19.19,19.67,19.4,19.19,345686.28,0.57
2017-12-26,19.33,19.53,19.09,18.67,523618.62,-1.6
2017-12-27,19.05,19.2,18.5,18.44,445365.38,-3.09
2017-12-28,18.6,18.9,18.64,18.5,367612.72,0.81
2017-12-29,18.74,19.06,18.85,18.59,368270.19,1.07
2018-01-02,18.95,19.18,18.98,18.79,415687.19,0.74
2018-01-03,18.99,19.29,18.75,18.61,612043.06,-1.26
2018-01-04,18.76,19.14,19.02,18.69,566863.69,1.55
2018-01-05,19.02,19.1,18.97,18.78,575876.62,-0.37
2018-01-08,19.22,19.85,19.83,18.9,979652.12,4.48
2018-01-09,19.85,20.45,20.22,19.7,824381.94,1.97
2018-01-10,20.26,21.0,20.77,20.01,859729.31,2.72
2018-01-11,20.65,21.3,20.96,20.52,680238.69,1.01
2018-01-12,21.0,21.58,21.51,20.83,592390.56,2.62
2018-01-15,21.81,23.2,22.04,21.81,1038854.12,2.51
2018-01-16,22.03,23.02,22.0,21.6,1245933.25,-0.23
2018-01-17,21.99,22.27,21.66,20.78,1058288.5,-0.96
2018-01-18,21.83,22.12,21.54,21.15,845691.69,-0.23
2018-01-19,21.6,21.75,21.13,20.9,638974.75,-1.9
2018-01-22,21.2,22.95,22.88,21.2,1034809.62,8.18
2018-01-23,22.6,22.82,22.51,22.18,781824.38,-1.57
2018-01-24,22.51,22.59,22.06,21.65,604843.88,-1.96
2018-01-25,22.04,22.04,21.47,21.21,792643.5,-2.59
2018-01-26,21.4,22.1,21.75,21.2,653216.69,1.3
2018-01-29,21.55,21.86,20.79,20.72,767142.62,-4.46
2018-01-30,20.65,21.12,20.62,20.3,517316.5,-0.82
2018-01-31,20.5,21.36,21.2,20.5,621083.88,2.81
2018-02-01,21.2,21.45,21.44,20.68,729021.25,1.13
2018-02-02,21.1,21.46,21.18,20.93,532053.12,-1.17
2018-02-05,20.75,20.92,20.49,19.81,831509.12,-3.21
2018-02-06,19.61,20.23,20.22,19.41,906263.62,-1.27
2018-02-07,20.51,20.55,19.2,19.19,780689.5,-4.9
2018-02-08,19.0,19.68,19.25,18.75,539918.81,0.16
2018-02-09,18.7,18.88,18.86,17.6,741911.19,-2.03
2018-02-12,18.76,19.6,19.36,18.66,539422.31,2.76
2018-02-13,19.68,19.8,19.26,19.2,442884.62,-0.62
2018-02-14,19.26,19.87,19.8,19.17,361311.78,2.86
2018-02-22,20.11,20.6,20.42,20.11,508443.19,3.08
2018-02-23,20.42,20.78,20.55,20.29,364918.62,0.69
2018-02-26,20.8,20.96,20.66,20.17,389874.19,0.58
2018-02-27,20.5,20.53,19.79,19.47,923219.62,-4.17
2018-02-28,19.47,19.86,19.57,19.27,444657.5,-1.11
2018-03-01,19.35,19.84,19.58,19.32,338422.28,0.1
2018-03-02,19.41,20.1,20.01,19.33,480465.09,2.14
2018-03-05,20.03,20.11,20.03,19.6,375040.19,0.1
2018-03-06,20.01,20.02,19.72,19.48,488629.31,-1.55
2018-03-07,19.8,19.98,19.7,19.64,290338.41,0.0
2018-03-08,19.68,20.45,20.44,19.62,592260.62,3.76
2018-03-09,20.53,20.88,20.55,20.29,474121.62,0.64
2018-03-12,20.7,20.87,20.46,20.11,827595.56,-0.44
2018-03-13,20.5,20.75,20.48,20.3,512264.25,0.1
2018-03-14,20.38,20.49,20.31,20.19,286500.88,-0.93
2018-03-15,20.18,20.82,20.78,20.16,598073.44,2.31
2018-03-16,20.71,20.84,20.31,20.31,394853.12,-2.31
2018-03-19,20.23,20.4,20.39,19.8,335511.88,0.29
2018-03-20,20.15,20.19,19.99,19.8,292085.56,-1.91
2018-03-21,20.1,20.11,19.61,19.32,555133.06,-1.9
2018-03-22,19.57,19.57,19.01,18.85,581312.19,-3.01
2018-03-23,18.1,18.69,18.68,17.8,924443.44,-1.84
2018-03-26,18.23,18.33,18.17,17.92,414880.44,-2.57
2018-03-27,18.51,18.64,18.12,17.82,565224.5,-0.33
2018-03-28,17.94,17.94,17.19,17.01,706491.31,-5.13
2018-03-29,17.3,18.12,17.88,16.62,802618.56,4.08
2018-03-30,17.72,17.9,17.62,17.5,401584.88,-1.45
2018-04-02,17.47,17.94,17.28,17.15,468669.22,-1.93
2018-04-03,17.09,17.45,17.3,17.0,314741.66,0.12
2018-04-04,17.48,17.87,17.67,17.25,516555.59,2.08
2018-04-09,17.6,17.76,17.37,17.26,315356.59,-1.64
2018-04-10,17.47,18.0,17.99,17.41,409635.94,3.63
2018-04-11,18.23,18.49,17.84,17.72,514370.16,-0.83
2018-04-12,17.8,18.06,17.78,17.76,237423.11,-0.34
2018-04-13,17.88,18.05,17.6,17.51,259994.12,-1.01
2018-04-16,17.52,17.69,17.34,17.08,331018.5,-1.48
2018-04-17,17.33,17.43,17.06,16.93,301357.03,-1.56
2018-04-18,17.22,17.27,16.73,16.58,387003.41,-1.93
2018-04-19,16.73,17.13,17.09,16.65,438247.78,2.09
2018-04-20,17.07,17.43,17.09,16.86,471062.62,0.0
2018-04-23,17.07,17.53,17.38,16.99,319201.78,1.76
2018-04-24,17.45,18.15,17.86,17.45,576447.5,2.76
2018-04-25,17.65,17.95,17.7,17.6,262578.22,-0.84
2018-04-26,17.18,17.44,17.41,17.04,463133.97,-1.64
2018-04-27,17.5,17.54,17.14,16.87,422214.94,-1.38
2018-05-02,17.22,17.49,17.48,16.96,239128.09,1.98
2018-05-03,17.4,17.99,17.98,17.32,376567.34,2.86
2018-05-04,17.89,18.07,17.7,17.68,237928.05,-1.56
2018-05-07,17.79,18.26,18.23,17.72,347370.19,2.99
2018-05-08,18.23,18.59,18.38,18.15,457604.28,0.82
2018-05-09,18.38,18.4,18.17,18.08,270332.75,-1.14
2018-05-10,18.2,18.46,18.21,18.03,319743.69,0.28
2018-05-11,18.22,18.26,17.99,17.89,241203.66,-1.15
2018-05-14,18.02,18.55,18.5,18.01,486180.91,3.06
2018-05-15,18.56,18.8,18.79,18.4,425597.47,1.57
2018-05-16,18.69,19.1,18.78,18.62,386973.16,-0.05
2018-05-17,18.55,18.6,18.19,18.11,480076.62,-3.19
2018-05-18,18.06,18.4,18.39,17.92,323379.44,1.1
2018-05-21,18.45,18.72,18.57,18.29,362055.53,1.03
2018-05-22,18.56,18.56,18.4,18.14,267758.78,-0.92
2018-05-23,18.31,18.32,18.02,17.95,282813.97,-2.01
2018-05-24,18.02,18.16,17.99,17.91,198714.31,-0.17
2018-05-25,17.95,18.38,18.34,17.88,294088.94,1.95
2018-05-28,18.23,18.81,18.74,18.05,427485.22,2.24
2018-05-29,18.76,18.85,18.83,18.6,317314.94,0.53
2018-05-30,18.21,19.2,18.82,18.21,467383.47,-0.05
2018-05-31,18.95,20.2,20.11,18.9,1028672.56,6.8
2018-06-01,19.81,19.99,19.66,19.42,514667.81,-2.19
2018-06-04,19.88,20.75,20.27,19.88,750447.56,3.15
2018-06-05,20.49,20.55,20.47,20.02,490641.75,0.94
2018-06-06,20.42,20.95,20.7,20.3,545173.31,1.12
2018-06-07,20.4,20.63,20.31,20.01,480489.31,-0.2
2018-06-08,20.25,20.74,20.39,20.15,605888.19,0.39
2018-06-11,20.43,20.75,20.37,20.12,466681.53,0.05
2018-06-12,20.36,20.92,20.68,20.19,563762.88,1.57
2018-06-13,20.88,21.11,20.68,20.33,509845.19,0.0
2018-06-14,20.46,20.62,20.38,19.94,473882.25,-1.4
2018-06-15,20.25,20.77,20.62,20.16,451416.28,1.23
2018-06-19,20.25,20.8,20.03,19.98,833373.62,-2.91
2018-06-20,20.01,20.45,20.2,19.85,320990.06,0.9
2018-06-21,20.28,20.75,20.38,20.21,436826.22,0.89
2018-06-22,20.15,20.41,20.36,19.85,334086.75,-0.1
2018-06-25,20.5,21.42,20.96,20.26,751183.31,3.0
2018-06-26,20.65,21.15,20.33,19.97,662309.44,-3.01
2018-06-27,20.2,20.37,18.94,18.66,716760.38,-6.79
2018-06-28,18.4,18.94,18.27,18.23,511130.62,-3.44
2018-06-29,18.4,19.42,19.26,18.4,390002.03,5.42
2018-07-02,19.22,19.49,18.76,18.51,329286.28,-2.6
2018-07-03,18.72,18.96,18.43,17.82,452740.03,-1.81
2018-07-04,18.43,18.86,18.15,17.98,354369.28,-1.52
2018-07-05,18.42,18.85,18.21,18.05,371508.22,0.17
2018-07-06,18.24,18.64,18.23,17.51,432156.38,0.11
2018-07-09,18.32,19.05,19.03,18.32,466110.06,4.45
2018-07-10,19.1,19.22,18.97,18.72,313487.56,-0.32
2018-07-11,18.4,18.77,18.57,18.19,393839.56,-2.11
2018-07-12,18.51,19.24,18.93,18.43,460892.81,1.99
2018-07-13,18.94,19.1,18.82,18.79,283411.97,-0.63
2018-07-16,18.96,19.1,18.75,18.58,260872.56,-0.37
2018-07-17,18.72,18.8,18.6,18.31,226761.16,-0.69
