date,open,high,close,low,volume,p_change
2017-10-09,3910.11,3918.84,3882.21,3876.03,135535856.0,1.19
2017-10-10,3883.0,3900.74,3889.86,3855.47,112532584.0,0.2
2017-10-11,3886.82,3913.07,3902.69,3885.5,104418152.0,0.33
2017-10-12,3902.02,3917.44,3912.95,3897.55,94340928.0,0.26
2017-10-13,3912.97,3927.17,3921.0,3908.89,90142064.0,0.21
2017-10-16,3926.28,3947.42,3913.45,3913.32,121355032.0,-0.19
2017-10-17,3910.79,3924.61,3913.07,3900.48,82241232.0,-0.01
2017-10-18,3914.82,3944.41,3944.16,3914.82,100969840.0,0.8
2017-10-19,3940.58,3944.03,3931.25,3923.65,106527256.0,-0.33
2017-10-20,3918.53,3928.96,3926.85,3910.2,72980176.0,-0.11
2017-10-23,3930.89,3936.27,3930.8,3920.66,81484976.0,0.1
2017-10-24,3926.23,3959.5,3959.4,3922.03,93058152.0,0.73
2017-10-25,3958.17,3978.09,3976.95,3954.0,88205456.0,0.44
2017-10-26,3980.05,4013.6,3993.58,3973.55,129895464.0,0.42
2017-10-27,3992.55,4024.46,4021.97,3991.35,126672848.0,0.71
2017-10-30,4022.16,4033.34,4009.72,3960.27,157387600.0,-0.3
2017-10-31,3995.39,4009.28,4006.72,3983.26,109178776.0,-0.07
2017-11-01,4007.91,4032.46,3996.62,3991.32,130417376.0,-0.25
2017-11-02,3994.09,3999.23,3997.13,3971.38,126100584.0,0.01
2017-11-03,3992.35,3999.34,3992.7,3963.03,129404440.0,-0.11
2017-11-06,3989.18,4021.64,4020.89,3975.41,122081160.0,0.71
2017-11-07,4022.4,4064.22,4054.25,4021.36,152116672.0,0.83
2017-11-08,4051.49,4089.15,4048.01,4040.58,150827712.0,-0.15
2017-11-09,4043.07,4076.61,4075.9,4038.4,121056336.0,0.69
2017-11-10,4070.28,4116.71,4111.91,4067.66,141817168.0,0.88
2017-11-13,4115.55,4137.65,4128.07,4115.55,151446320.0,0.39
2017-11-14,4129.27,4133.55,4099.35,4086.89,143236928.0,-0.7
2017-11-15,4084.21,4102.81,4073.67,4055.72,120635696.0,-0.63
2017-11-16,4063.49,4107.62,4105.01,4062.27,121384416.0,0.77
2017-11-17,4094.08,4122.38,4120.85,4081.37,191784128.0,0.39
2017-11-20,4093.73,4144.51,4143.83,4060.96,137447264.0,0.56
2017-11-21,4131.85,4220.26,4217.7,4129.98,180350816.0,1.78
2017-11-22,4228.37,4260.64,4227.57,4191.15,186476992.0,0.23
2017-11-23,4213.38,4214.19,4102.4,4086.9,178147232.0,-2.96
2017-11-24,4089.47,4116.59,4104.2,4057.49,130858032.0,0.04
2017-11-27,4088.93,4088.93,4049.95,4037.15,143455280.0,-1.32
2017-11-28,4034.21,4056.48,4055.82,4010.3,102058096.0,0.14
2017-11-29,4061.35,4069.24,4053.75,4004.69,124553648.0,-0.05
2017-11-30,4034.01,4052.8,4006.1,3988.0,107983352.0,-1.18
2017-12-01,4003.56,4027.11,3998.14,3984.38,97386912.0,-0.2
2017-12-04,3989.05,4032.99,4018.86,3982.32,102647216.0,0.52
2017-12-05,4007.94,4045.93,4040.17,4006.54,154087072.0,0.53
2017-12-06,4027.12,4031.75,4015.82,3964.81,109286208.0,-0.6
2017-12-07,4003.58,4017.95,3971.06,3955.99,90254048.0,-1.11
2017-12-08,3962.83,4014.14,4003.38,3955.44,89282856.0,0.81
2017-12-11,4006.88,4069.5,4069.5,4005.27,97148952.0,1.65
2017-12-12,4068.51,4070.15,4016.02,4015.45,84338720.0,-1.31
2017-12-13,4013.83,4052.69,4050.09,4004.74,77546136.0,0.85
2017-12-14,4050.9,4057.62,4026.15,4013.85,80768864.0,-0.59
2017-12-15,4018.73,4020.27,3980.86,3974.93,89044384.0,-1.12
2017-12-18,3983.3,4008.07,3985.29,3967.93,77853376.0,0.11
2017-12-19,3985.82,4035.63,4035.33,3985.82,77528984.0,1.26
2017-12-20,4036.02,4044.85,4030.49,4015.63,90604504.0,-0.12
2017-12-21,4023.08,4080.78,4067.85,4014.65,96836088.0,0.93
2017-12-22,4064.91,4076.8,4054.6,4048.49,73473688.0,-0.33
2017-12-25,4057.42,4086.93,4041.54,4026.45,91926960.0,-0.32
2017-12-26,4040.62,4056.86,4053.62,4015.3,91118784.0,0.3
2017-12-27,4045.28,4047.74,3991.21,3986.74,105153576.0,-1.54
2017-12-28,3993.0,4036.7,4018.9,3980.24,118542888.0,0.69
2017-12-29,4022.88,4043.14,4030.85,4012.87,90486680.0,0.3
2018-01-02,4045.21,4087.78,4087.4,4045.21,146935440.0,1.4
2018-01-03,4091.46,4140.05,4111.39,4088.73,151852224.0,0.59
2018-01-04,4114.12,4137.64,4128.81,4105.89,134543792.0,0.42
2018-01-05,4133.34,4151.28,4138.75,4123.28,149009872.0,0.24
2018-01-08,4140.85,4166.32,4160.16,4127.31,173877664.0,0.52
2018-01-09,4157.54,4191.28,4189.3,4153.5,139034304.0,0.7
2018-01-10,4187.2,4211.05,4207.81,4175.14,151121664.0,0.44
2018-01-11,4197.11,4211.8,4205.59,4181.96,121578536.0,-0.05
2018-01-12,4205.14,4227.39,4225.0,4199.03,111354800.0,0.46
2018-01-15,4229.84,4262.93,4225.24,4216.36,170907888.0,0.01
2018-01-16,4215.62,4260.21,4258.47,4213.13,161494960.0,0.79
2018-01-17,4261.78,4283.34,4248.12,4230.54,214311040.0,-0.24
2018-01-18,4259.38,4292.64,4271.42,4246.68,172032832.0,0.55
2018-01-19,4281.94,4316.57,4285.4,4269.62,209490576.0,0.33
2018-01-22,4276.48,4338.48,4336.6,4275.9,174643200.0,1.2
2018-01-23,4346.89,4383.57,4382.61,4346.79,201867584.0,1.06
2018-01-24,4389.45,4397.82,4389.89,4349.09,219818880.0,0.17
2018-01-25,4381.98,4392.2,4365.08,4336.24,195374944.0,-0.56
2018-01-26,4352.22,4403.34,4381.3,4351.49,177227248.0,0.37
2018-01-29,4387.06,4395.91,4302.02,4287.11,191100352.0,-1.81
2018-01-30,4286.68,4308.51,4256.1,4251.57,139034720.0,-1.07
2018-01-31,4234.11,4287.86,4275.9,4232.77,145210160.0,0.47
2018-02-01,4276.34,4287.39,4245.9,4214.29,190002928.0,-0.7
2018-02-02,4213.94,4271.76,4271.23,4181.78,146066832.0,0.6
2018-02-05,4204.46,4274.15,4274.15,4200.14,161347792.0,0.07
2018-02-06,4182.33,4211.52,4148.89,4131.56,214910448.0,-2.93
2018-02-07,4205.74,4212.57,4050.5,4048.42,203127504.0,-2.37
2018-02-08,4022.88,4071.67,4012.05,3974.68,159269984.0,-0.95
2018-02-09,3896.17,3911.29,3840.65,3759.15,206349824.0,-4.27
2018-02-12,3846.27,3907.84,3890.1,3828.07,116182640.0,1.29
2018-02-13,3925.6,3986.98,3935.63,3925.6,112565880.0,1.17
2018-02-14,3945.09,3971.4,3966.96,3923.13,71081336.0,0.8
2018-02-22,4020.97,4058.79,4052.73,4009.92,105811568.0,2.16
2018-02-23,4061.75,4085.2,4071.09,4035.23,99458744.0,0.45
2018-02-26,4093.4,4128.74,4118.42,4048.98,137881008.0,1.16
2018-02-27,4120.87,4120.87,4058.98,4051.81,125934472.0,-1.44
2018-02-28,4016.79,4051.71,4023.64,3991.71,109343592.0,-0.87
2018-03-01,3994.87,4061.03,4049.09,3986.89,110199848.0,0.63
2018-03-02,4014.95,4044.42,4016.46,4006.94,96165000.0,-0.81
2018-03-05,4021.66,4042.83,4018.1,3995.87,87952544.0,0.04
2018-03-06,4034.99,4067.55,4066.56,3998.93,138762448.0,1.21
2018-03-07,4063.5,4089.7,4036.65,4027.94,106952424.0,-0.74
2018-03-08,4038.95,4078.23,4077.6,4029.71,91155816.0,1.01
2018-03-09,4088.07,4110.67,4108.87,4076.45,113701808.0,0.77
2018-03-12,4130.71,4139.53,4127.67,4112.77,140906736.0,0.46
2018-03-13,4124.33,4130.28,4091.25,4087.56,111766424.0,-0.88
2018-03-14,4076.06,4089.09,4073.34,4066.49,99013408.0,-0.44
2018-03-15,4058.71,4098.99,4096.16,4058.71,88161160.0,0.56
2018-03-16,4096.89,4110.05,4056.42,4055.82,84896192.0,-0.97
2018-03-19,4054.62,4074.52,4074.25,4033.52,81502880.0,0.44
2018-03-20,4045.74,4080.19,4077.7,4040.31,80605280.0,0.09
2018-03-21,4097.02,4110.12,4061.05,4046.24,97609496.0,-0.41
2018-03-22,4062.07,4072.38,4020.35,4003.72,89095264.0,-1.0
2018-03-23,3896.74,3928.51,3904.94,3834.94,180080448.0,-2.87
2018-03-26,3862.69,3883.9,3879.89,3829.92,115139120.0,-0.64
2018-03-27,3927.49,3936.78,3913.27,3881.87,113700712.0,0.86
2018-03-28,3865.05,3907.28,3842.72,3835.88,101494904.0,-1.8
2018-03-29,3854.59,3913.96,3894.05,3794.26,116629064.0,1.34
2018-03-30,3893.75,3915.35,3898.5,3879.21,97512272.0,0.11
2018-04-02,3897.01,3937.02,3886.92,3882.89,111242672.0,-0.3
2018-04-03,3850.15,3878.15,3862.48,3839.93,95137376.0,-0.63
2018-04-04,3873.63,3898.61,3854.86,3852.5,88730616.0,-0.2
2018-04-09,3851.95,3870.67,3852.93,3827.41,84105464.0,-0.05
2018-04-10,3860.72,3927.42,3927.17,3851.8,106173728.0,1.93
2018-04-11,3934.17,3958.71,3938.34,3924.96,111933024.0,0.28
2018-04-12,3935.67,3937.78,3898.64,3896.18,82699488.0,-1.01
2018-04-13,3920.74,3929.95,3871.14,3866.19,71544200.0,-0.7
2018-04-16,3862.47,3869.16,3808.86,3789.61,99217768.0,-1.61
2018-04-17,3812.87,3822.63,3748.64,3745.44,90610792.0,-1.58
2018-04-18,3785.31,3789.66,3766.28,3708.11,106676704.0,0.47
2018-04-19,3774.78,3824.03,3811.84,3767.8,99054056.0,1.21
2018-04-20,3801.21,3815.44,3760.85,3750.1,99282920.0,-1.34
2018-04-23,3754.69,3787.4,3766.33,3735.18,90356296.0,0.15
2018-04-24,3769.88,3854.43,3843.49,3769.88,114219520.0,2.05
2018-04-25,3824.59,3838.69,3828.7,3817.03,78172608.0,-0.39
2018-04-26,3823.39,3828.71,3755.49,3744.89,87150640.0,-1.91
2018-04-27,3771.04,3776.98,3756.88,3714.64,89531728.0,0.04
2018-05-02,3769.93,3787.3,3763.65,3744.55,83301032.0,0.18
2018-05-03,3756.17,3797.53,3793.0,3732.37,93961112.0,0.78
2018-05-04,3784.32,3801.52,3774.6,3770.94,71554288.0,-0.48
2018-05-07,3782.54,3834.59,3834.19,3776.03,87286192.0,1.58
2018-05-08,3834.61,3892.07,3878.68,3833.73,94215160.0,1.16
2018-05-09,3876.13,3878.94,3871.62,3855.74,66712964.0,-0.18
2018-05-10,3882.84,3894.49,3893.06,3867.31,70667808.0,0.55
2018-05-11,3902.15,3903.34,3872.84,3871.95,73356608.0,-0.52
2018-05-14,3886.87,3919.3,3909.29,3886.87,81976000.0,0.94
2018-05-15,3920.14,3924.34,3924.1,3892.92,76049560.0,0.38
2018-05-16,3909.82,3923.34,3892.84,3889.19,71913648.0,-0.8
2018-05-17,3895.49,3899.51,3864.05,3858.85,59030124.0,-0.74
2018-05-18,3860.16,3903.06,3903.06,3841.9,72613952.0,1.01
2018-05-21,3925.54,3937.46,3921.24,3913.6,92641744.0,0.47
2018-05-22,3918.82,3918.82,3906.21,3881.17,75368776.0,-0.38
2018-05-23,3898.27,3898.27,3854.58,3854.58,83722320.0,-1.32
2018-05-24,3853.29,3859.1,3827.22,3823.92,68345024.0,-0.71
2018-05-25,3823.74,3841.12,3816.5,3804.13,70836384.0,-0.28
2018-05-28,3816.26,3846.55,3833.26,3799.32,71521128.0,0.44
2018-05-29,3824.19,3841.78,3804.01,3800.67,81552664.0,-0.76
2018-05-30,3755.18,3767.89,3723.37,3722.07,87913288.0,-2.12
2018-05-31,3749.3,3804.79,3802.38,3742.53,92666888.0,2.12
2018-06-01,3789.67,3802.54,3770.59,3753.84,77821816.0,-0.84
2018-06-04,3785.19,3813.41,3807.58,3776.62,76624344.0,0.98
2018-06-05,3811.29,3845.56,3845.32,3800.93,78687360.0,0.99
2018-06-06,3839.68,3848.33,3837.35,3830.9,73117232.0,-0.21
2018-06-07,3846.94,3859.85,3831.01,3827.69,80256152.0,-0.17
2018-06-08,3819.45,3819.46,3779.62,3759.27,83337336.0,-1.34
2018-06-11,3770.21,3792.55,3779.98,3756.51,68709832.0,0.01
2018-06-12,3783.19,3830.47,3825.95,3765.26,73206248.0,1.22
2018-06-13,3814.62,3817.45,3788.34,3782.07,66377968.0,-0.98
2018-06-14,3774.64,3808.16,3773.37,3759.25,68471320.0,-0.4
2018-06-15,3763.04,3780.34,3753.43,3737.43,85488888.0,-0.53
2018-06-19,3702.67,3712.82,3621.12,3583.02,160706544.0,-3.52
2018-06-20,3602.55,3649.34,3635.44,3578.17,86718096.0,0.4
2018-06-21,3633.56,3673.56,3592.97,3589.49,93908552.0,-1.17
2018-06-22,3567.89,3609.08,3608.9,3542.46,75117864.0,0.44
2018-06-25,3625.8,3631.03,3560.48,3559.03,79877080.0,-1.34
2018-06-26,3521.59,3541.78,3531.11,3478.21,84985264.0,-0.82
