ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
000892.SZ,20180102,7.8,7.96,7.74,7.87,7.78,0.09,1.16,14592.29,11471.813,0.07
000892.SZ,20180103,7.9,7.93,7.75,7.77,7.87,-0.1,-1.27,29487.81,23033.428,0.05
000892.SZ,20180104,7.82,7.82,7.72,7.72,7.77,-0.05,-0.64,20007.54,15518.585,0.0
000892.SZ,20180105,7.72,7.8,7.7,7.72,7.72,0.0,0.0,16751.81,12977.783000000001,0.01
000892.SZ,20180108,7.74,7.81,7.72,7.73,7.72,0.01,0.13,20218.01,15691.435,0.02
000892.SZ,20180109,7.69,7.77,7.69,7.73,7.73,0.0,0.0,13595.0,10502.787,-0.07
000892.SZ,20180110,7.79,7.81,7.69,7.76,7.73,0.03,0.39,16944.36,13122.972,-0.07
000892.SZ,20180111,7.72,7.76,7.63,7.66,7.76,-0.1,-1.29,17313.81,13298.198999999999,-0.05
000892.SZ,20180112,7.66,7.68,7.53,7.65,7.66,-0.01,-0.13,16998.0,12966.39,-0.01
000892.SZ,20180115,7.58,7.66,7.53,7.59,7.65,-0.06,-0.78,21327.0,16197.866000000002,0.01
000892.SZ,20180116,7.59,7.75,7.55,7.72,7.59,0.13,1.71,15620.77,11981.697,-0.02
000892.SZ,20180117,7.72,7.72,7.58,7.68,7.72,-0.04,-0.52,20051.87,15328.764,0.02
000892.SZ,20180118,7.68,7.78,7.66,7.74,7.68,0.06,0.78,19865.49,15347.726,0.02
000892.SZ,20180119,7.74,7.75,7.68,7.72,7.74,-0.02,-0.26,10218.0,7873.936,0.02
000892.SZ,20180122,7.68,7.79,7.67,7.72,7.72,0.0,0.0,15400.0,11882.344,0.02
000892.SZ,20180123,7.74,7.98,7.7,7.98,7.72,0.26,3.37,31135.78,24461.339,0.0
000892.SZ,20180124,7.97,8.25,7.88,8.21,7.98,0.23,2.88,54929.51,44630.42,-0.03
000892.SZ,20180125,8.2,8.36,8.09,8.21,8.21,0.0,0.0,37747.0,31126.724,-0.03
000892.SZ,20180126,8.22,8.27,8.17,8.25,8.21,0.04,0.49,22949.26,18852.493000000002,-0.02
000892.SZ,20180129,8.27,8.53,8.22,8.35,8.25,0.1,1.21,41869.38,35060.005,-0.03
000892.SZ,20180130,8.4,8.49,8.29,8.4,8.35,0.05,0.6,24499.0,20573.835,-0.04
000892.SZ,20180131,8.9,8.93,7.56,8.12,8.4,-0.28,-3.33,97114.71,82823.041,-0.03
000892.SZ,20180201,8.25,8.39,7.7,7.73,8.12,-0.39,-4.8,64096.9,51112.224,0.02
000892.SZ,20180202,7.7,7.85,7.65,7.79,7.73,0.06,0.78,27450.39,21315.15,0.02
000892.SZ,20180205,7.7,7.98,7.7,7.92,7.79,0.13,1.67,21289.16,16794.322,0.02
000892.SZ,20180206,7.84,7.92,7.18,7.2,7.92,-0.72,-9.09,43494.66,33016.195,0.11
000892.SZ,20180207,7.4,7.42,6.8,7.2,7.2,0.0,0.0,39107.56,28075.346,0.1
000892.SZ,20180208,7.11,7.34,7.11,7.25,7.2,0.05,0.69,16270.69,11817.197,0.07
000892.SZ,20180209,7.2,7.98,7.15,7.59,7.25,0.34,4.69,71849.41,54292.401,0.02
000892.SZ,20180212,7.48,7.81,7.47,7.7,7.59,0.11,1.45,39929.0,30648.831000000002,0.0
000892.SZ,20180213,7.69,7.78,7.56,7.6,7.7,-0.1,-1.3,28451.54,21758.69,0.01
000892.SZ,20180214,7.6,7.85,7.53,7.8,7.6,0.2,2.63,25988.08,20011.191000000003,-0.02
000892.SZ,20180222,7.81,7.96,7.8,7.87,7.8,0.07,0.9,21743.08,17102.983,-0.03
000892.SZ,20180223,7.87,7.87,7.76,7.85,7.87,-0.02,-0.25,14881.21,11644.139,-0.08
000892.SZ,20180226,7.85,7.91,7.79,7.84,7.85,-0.01,-0.13,22880.05,17945.746,-0.08
000892.SZ,20180227,7.86,8.09,7.81,8.0,7.84,0.16,2.04,35397.0,28115.868,-0.07
000892.SZ,20180228,7.95,8.01,7.84,7.94,8.0,-0.06,-0.75,24051.01,19069.241,-0.05
000892.SZ,20180301,7.94,8.05,7.9,7.96,7.94,0.02,0.25,21917.05,17469.773,-0.05
000892.SZ,20180302,7.97,8.17,7.92,8.09,7.96,0.13,1.63,41030.47,33087.515,-0.05
000892.SZ,20180305,8.07,8.17,8.01,8.06,8.09,-0.03,-0.37,20406.51,16439.681,-0.05
000892.SZ,20180306,8.15,8.15,7.98,8.03,8.06,-0.03,-0.37,23668.96,19043.144,-0.03
000892.SZ,20180307,8.06,8.06,7.85,7.88,8.03,-0.15,-1.87,23297.01,18425.464,-0.02
000892.SZ,20180308,7.93,7.93,7.83,7.87,7.88,-0.01,-0.13,11912.0,9368.752,-0.01
000892.SZ,20180309,7.85,7.96,7.84,7.95,7.87,0.08,1.02,26338.95,20858.811,-0.01
000892.SZ,20180312,7.97,8.11,7.97,8.05,7.95,0.1,1.26,48178.0,38756.288,-0.02
000892.SZ,20180313,8.06,8.06,7.97,8.02,8.05,-0.03,-0.37,28300.0,22651.299,0.01
000892.SZ,20180314,8.0,8.1,7.91,7.91,8.02,-0.11,-1.37,25982.01,20779.668999999998,0.02
000892.SZ,20180315,7.84,7.91,7.61,7.73,7.91,-0.18,-2.28,32074.0,24949.002,0.02
000892.SZ,20180316,7.68,7.78,7.67,7.71,7.73,-0.02,-0.26,25712.8,19818.043,0.03
000892.SZ,20180319,7.7,7.79,7.64,7.7,7.71,-0.01,-0.13,11237.76,8684.328000000001,0.04
000892.SZ,20180320,7.66,7.71,7.59,7.65,7.7,-0.05,-0.65,16623.53,12691.538,0.03
000892.SZ,20180321,7.65,7.71,7.56,7.64,7.65,-0.01,-0.13,20458.28,15628.87,0.03
000892.SZ,20180322,7.64,7.67,7.59,7.65,7.64,0.01,0.13,12881.0,9830.28,0.01
000892.SZ,20180323,7.39,7.57,7.12,7.2,7.65,-0.45,-5.88,41792.0,30586.681,0.07
000892.SZ,20180326,7.18,7.25,7.1,7.23,7.2,0.03,0.42,24031.43,17295.87,0.05
000892.SZ,20180327,7.25,7.44,7.25,7.4,7.23,0.17,2.35,21053.67,15539.063999999998,0.01
000892.SZ,20180328,7.35,7.58,7.28,7.52,7.4,0.12,1.62,21317.19,15950.277,-0.0
000892.SZ,20180329,7.47,7.59,7.46,7.54,7.52,0.02,0.27,13534.36,10172.059000000001,-0.01
000892.SZ,20180330,7.51,7.74,7.51,7.71,7.54,0.17,2.25,18668.85,14349.089,-0.02
000892.SZ,20180402,7.7,7.8,7.68,7.68,7.71,-0.03,-0.39,24261.0,18788.104,-0.02
000892.SZ,20180403,7.65,7.78,7.56,7.78,7.68,0.1,1.3,21809.61,16861.648,-0.03
000892.SZ,20180404,7.76,7.83,7.7,7.74,7.78,-0.04,-0.51,18336.0,14229.537,-0.03
000892.SZ,20180409,7.71,7.92,7.64,7.82,7.74,0.08,1.03,25284.02,19731.311999999998,-0.04
000892.SZ,20180410,7.82,7.91,7.81,7.88,7.82,0.06,0.77,19978.68,15689.364,-0.04
000892.SZ,20180411,7.92,7.94,7.83,7.88,7.88,0.0,0.0,20983.1,16575.552,-0.04
000892.SZ,20180412,7.85,8.25,7.84,8.14,7.88,0.26,3.3,61387.62,49836.468,-0.09
000892.SZ,20180413,8.19,8.22,8.07,8.1,8.14,-0.04,-0.49,19955.0,16213.528999999999,-0.09
000892.SZ,20180416,8.09,8.2,7.84,7.9,8.1,-0.2,-2.47,44510.2,35466.45,-0.07
000892.SZ,20180417,7.9,8.05,7.86,7.94,7.9,0.04,0.51,27344.01,21768.647,-0.08
000892.SZ,20180418,7.94,8.18,7.83,8.0,7.94,0.06,0.76,34492.01,27634.027000000002,-0.08
