,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,002730.SZ,20200403,7.14,7.18,6.97,7.04,7.11,-0.07,-0.9845,10506.4,7420.363,
1,1,002730.SZ,20200402,6.96,7.11,6.89,7.11,6.95,0.16,2.3022,11895.2,8346.127,
2,2,002730.SZ,20200401,7.1,7.16,6.95,6.95,7.05,-0.1,-1.4184,14115.44,9934.695,
3,3,002730.SZ,20200331,7.18,7.29,7.01,7.05,7.14,-0.09,-1.2605,14402.84,10243.513,
4,4,002730.SZ,20200330,7.5,7.55,7.12,7.14,7.56,-0.42,-5.5556,27156.44,19653.572,
5,5,002730.SZ,20200327,7.75,7.79,7.55,7.56,7.7,-0.14,-1.8182,13816.0,10612.042,
6,6,002730.SZ,20200326,7.8,7.84,7.66,7.7,7.84,-0.14,-1.7857,13750.0,10629.466,
7,7,002730.SZ,20200325,7.83,7.95,7.8,7.84,7.75,0.09,1.1613,20294.0,15969.883999999998,
8,8,002730.SZ,20200324,7.67,7.79,7.44,7.75,7.6,0.15,1.9737,19610.22,14985.94,
9,9,002730.SZ,20200323,7.64,7.79,7.52,7.6,7.74,-0.14,-1.8088,22514.2,17256.617,
10,10,002730.SZ,20200320,7.46,7.82,7.46,7.74,7.46,0.28,3.7534,25696.35,19748.428,
11,11,002730.SZ,20200319,7.46,7.53,7.27,7.46,7.35,0.11,1.4966,15446.4,11435.306,
12,12,002730.SZ,20200318,7.65,7.75,7.31,7.35,7.58,-0.23,-3.0343,21291.2,16120.563999999998,
13,13,002730.SZ,20200317,7.56,7.8,7.22,7.58,7.54,0.04,0.5305,27118.8,20422.733,
14,14,002730.SZ,20200316,8.14,8.19,7.53,7.54,7.98,-0.44,-5.5138,32562.42,25673.345,
15,15,002730.SZ,20200313,7.77,8.09,7.63,7.98,8.24,-0.26,-3.1553,40295.36,31860.904,
16,16,002730.SZ,20200312,8.46,8.56,8.14,8.24,8.61,-0.37,-4.2973,54818.16,45664.867,
17,17,002730.SZ,20200311,8.8,9.04,8.56,8.61,8.81,-0.2,-2.2701,70740.56,62371.018,
18,18,002730.SZ,20200310,8.42,8.87,7.91,8.81,8.66,0.15,1.7321,72352.32,61152.038,
19,19,002730.SZ,20200309,8.63,9.2,8.55,8.66,8.79,-0.13,-1.479,100413.4,88956.091,
20,20,002730.SZ,20200306,8.28,8.9,8.21,8.79,8.44,0.35,4.1469,90487.4,78233.208,-0.19908987485779286
21,21,002730.SZ,20200305,8.51,8.58,8.34,8.44,8.51,-0.07,-0.8226,59827.0,50532.015,-0.1575829383886255
22,22,002730.SZ,20200304,8.36,8.57,8.34,8.51,8.55,-0.04,-0.4678,51930.02,43860.812000000005,-0.1833137485311398
23,23,002730.SZ,20200303,8.21,8.83,8.21,8.55,8.21,0.34,4.1413,102032.03,86563.183,-0.17543859649122817
24,24,002730.SZ,20200302,7.89,8.29,7.89,8.21,7.9,0.31,3.9241,69612.53,56616.902,-0.1303288672350793
25,25,002730.SZ,20200228,8.12,8.42,7.84,7.9,8.71,-0.81,-9.2997,119117.45,96492.975,-0.043037974683544394
26,26,002730.SZ,20200227,7.93,8.71,7.78,8.71,7.92,0.79,9.9747,104092.1,88669.538,-0.11595866819747423
