ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
600352.SH,20180102,11.91,12.25,11.78,12.18,11.71,0.47,4.01,1133241.79,1364824.862,0.03
600352.SH,20180103,12.16,12.5,12.05,12.18,12.18,0.0,0.0,1045663.7,1281854.492,0.02
600352.SH,20180104,12.2,12.48,12.12,12.26,12.18,0.08,0.66,828962.83,1022995.635,0.02
600352.SH,20180105,12.21,12.5,12.17,12.49,12.26,0.23,1.88,811636.26,1002841.382,0.03
600352.SH,20180108,12.54,12.7,12.31,12.44,12.49,-0.05,-0.4,929678.06,1161495.836,0.07
600352.SH,20180109,12.39,12.49,12.22,12.38,12.44,-0.06,-0.48,560548.94,691116.07,0.02
600352.SH,20180110,12.32,12.47,12.16,12.34,12.38,-0.04,-0.32,457244.28,563207.205,-0.02
600352.SH,20180111,12.4,12.52,12.15,12.48,12.34,0.14,1.13,651970.56,805161.454,-0.03
600352.SH,20180112,12.35,12.68,12.14,12.16,12.48,-0.32,-2.56,655939.68,810755.725,-0.1
600352.SH,20180115,12.08,12.48,11.95,12.41,12.16,0.25,2.06,850032.49,1044222.103,-0.1
600352.SH,20180116,12.3,12.61,12.23,12.54,12.41,0.13,1.05,560585.11,699915.195,-0.07
600352.SH,20180117,12.61,12.75,12.28,12.32,12.54,-0.22,-1.75,695664.62,870761.545,-0.05
600352.SH,20180118,12.26,13.26,12.26,13.08,12.32,0.76,6.17,1387197.13,1774291.3630000001,-0.04
600352.SH,20180119,12.96,13.24,12.64,12.88,13.08,-0.2,-1.53,1109722.18,1441850.892,-0.03
600352.SH,20180122,12.79,13.12,12.76,12.89,12.88,0.01,0.08,803384.27,1039065.4670000001,-0.02
600352.SH,20180123,13.07,13.18,12.27,12.42,12.89,-0.47,-3.65,1814658.7,2296627.557,0.02
600352.SH,20180124,12.44,12.74,12.39,12.48,12.42,0.06,0.48,924710.5,1160568.0790000001,0.01
600352.SH,20180125,12.46,12.69,12.4,12.55,12.48,0.07,0.56,584950.74,735426.0190000001,0.02
600352.SH,20180126,12.48,12.6,12.24,12.33,12.55,-0.22,-1.75,740659.18,918235.5970000001,0.04
600352.SH,20180129,12.37,12.5,11.98,12.03,12.33,-0.3,-2.43,908947.1,1110655.7240000002,0.03
600352.SH,20180130,12.01,12.59,12.01,12.51,12.03,0.48,3.99,975593.17,1208384.9340000001,0.03
600352.SH,20180131,12.46,12.57,12.26,12.47,12.51,-0.04,-0.32,583062.65,724677.3640000001,0.01
600352.SH,20180201,12.53,12.95,12.26,12.54,12.47,0.07,0.56,1040267.32,1311012.592,0.02
600352.SH,20180202,12.3,12.85,11.91,12.81,12.54,0.27,2.15,926504.54,1166476.396,-0.01
600352.SH,20180205,12.64,13.4,12.61,13.25,12.81,0.44,3.43,1165178.76,1531426.2769999998,-0.04
600352.SH,20180206,12.91,13.26,12.54,12.57,13.25,-0.68,-5.13,1084731.88,1398936.2580000001,-0.01
600352.SH,20180207,12.9,13.04,12.05,12.14,12.57,-0.43,-3.42,1124326.26,1409985.8159999999,0.0
600352.SH,20180208,12.07,12.36,11.82,12.12,12.14,-0.02,-0.16,702715.19,849574.082,-0.0
600352.SH,20180209,11.7,11.76,10.91,10.97,12.12,-1.15,-9.49,971606.37,1096452.05,0.07
600352.SH,20180212,11.0,11.36,10.98,11.23,10.97,0.26,2.37,530111.98,594345.47,0.06
600352.SH,20180213,11.45,11.87,11.37,11.61,11.23,0.38,3.38,610225.68,711528.818,0.01
600352.SH,20180214,11.73,11.91,11.62,11.74,11.61,0.13,1.12,343486.04,404950.206,0.02
600352.SH,20180222,11.93,12.73,11.93,12.5,11.74,0.76,6.47,871799.26,1076816.453,-0.06
600352.SH,20180223,12.36,12.58,12.3,12.51,12.5,0.01,0.08,615935.64,766469.355,-0.13
600352.SH,20180226,12.62,12.77,12.46,12.66,12.51,0.15,1.2,617108.49,780025.031,-0.12
600352.SH,20180227,12.65,12.84,12.33,12.68,12.66,0.02,0.16,797773.39,1007235.3359999999,-0.11
600352.SH,20180228,12.71,12.78,12.41,12.66,12.68,-0.02,-0.16,618124.38,780391.79,-0.14
600352.SH,20180301,12.75,13.15,12.71,12.79,12.66,0.13,1.03,1013112.2,1308172.4,-0.12
600352.SH,20180302,12.7,13.03,12.61,12.81,12.79,0.02,0.16,766991.4,984302.33,-0.13
600352.SH,20180305,12.83,13.02,12.33,12.35,12.81,-0.46,-3.59,944967.75,1189810.791,-0.09
600352.SH,20180306,12.5,12.95,12.2,12.92,12.35,0.57,4.62,989502.63,1242222.746,-0.14
600352.SH,20180307,12.79,12.86,12.49,12.6,12.92,-0.32,-2.48,606410.82,767018.875,-0.12
600352.SH,20180308,12.64,12.88,12.42,12.78,12.6,0.18,1.43,650770.58,826329.824,-0.14
600352.SH,20180309,12.75,12.77,12.47,12.64,12.78,-0.14,-1.1,543380.34,684826.1170000001,-0.09
600352.SH,20180312,12.68,12.8,12.48,12.76,12.64,0.12,0.95,734435.18,928535.162,-0.09
600352.SH,20180313,12.7,12.7,12.36,12.44,12.76,-0.32,-2.51,701805.46,875872.964,-0.08
600352.SH,20180314,12.4,12.5,12.11,12.16,12.44,-0.28,-2.25,661690.13,809647.588,-0.08
600352.SH,20180315,12.16,12.32,11.93,12.08,12.16,-0.08,-0.66,491752.45,595520.735,-0.09
600352.SH,20180316,12.12,12.14,11.78,11.79,12.08,-0.29,-2.4,452555.24,538987.397,-0.08
600352.SH,20180319,11.87,11.98,11.77,11.92,11.79,0.13,1.1,358003.87,425217.891,-0.07
600352.SH,20180320,11.73,11.86,11.59,11.78,11.92,-0.14,-1.17,337159.48,395312.97799999994,-0.07
600352.SH,20180321,11.77,12.1,11.77,11.96,11.78,0.18,1.53,510978.4,613331.676,-0.11
