,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
0,0,603617.SH,20200403,15.11,15.84,15.11,15.76,15.35,0.41,2.6710000000000003,20597.22,32205.658,
1,1,603617.SH,20200402,14.96,15.42,14.83,15.35,15.04,0.31,2.0612,21227.8,32125.682999999997,
2,2,603617.SH,20200401,14.83,15.28,14.83,15.04,14.82,0.22,1.4845,20264.4,30442.372000000003,
3,3,603617.SH,20200331,14.76,14.96,14.51,14.82,14.26,0.56,3.9271,23352.3,34416.041,
4,4,603617.SH,20200330,14.35,14.45,14.0,14.26,14.43,-0.17,-1.1781,16432.26,23280.112999999998,
5,5,603617.SH,20200327,14.36,14.59,14.26,14.43,14.35,0.08,0.5575,22464.17,32336.1,
6,6,603617.SH,20200326,14.43,14.48,14.22,14.35,14.47,-0.12,-0.8293,18729.19,26796.798,
7,7,603617.SH,20200325,14.08,14.47,14.06,14.47,13.85,0.62,4.4765,18169.32,25955.464,
8,8,603617.SH,20200324,13.64,13.98,13.47,13.85,13.46,0.39,2.8975,15405.04,21122.08,
9,9,603617.SH,20200323,13.78,13.92,13.3,13.46,14.08,-0.62,-4.4034,17679.0,24102.194,
10,10,603617.SH,20200320,13.84,14.08,13.7,14.08,13.66,0.42,3.0747,20261.16,28162.136000000002,
11,11,603617.SH,20200319,13.89,14.19,13.4,13.66,13.79,-0.13,-0.9427,31551.74,43116.992,
12,12,603617.SH,20200318,14.56,14.94,13.75,13.79,14.67,-0.88,-5.9986,48694.34,69954.777,
13,13,603617.SH,20200317,16.26,16.4,14.67,14.67,16.3,-1.63,-10.0,65239.6,97529.641,
14,14,603617.SH,20200316,16.44,16.72,16.02,16.3,16.38,-0.08,-0.4884,33649.37,55208.242999999995,
15,15,603617.SH,20200313,15.72,16.63,15.5,16.38,16.41,-0.03,-0.1828,34137.8,55530.569,
16,16,603617.SH,20200312,16.81,16.9,15.85,16.41,16.7,-0.29,-1.7365,35712.6,59139.457,
17,17,603617.SH,20200311,17.22,17.61,16.6,16.7,17.19,-0.49,-2.8505,38208.4,64826.916,
18,18,603617.SH,20200310,17.02,17.72,16.37,17.19,17.5,-0.31,-1.7714,37024.0,62934.522000000004,
19,19,603617.SH,20200309,18.2,18.39,17.32,17.5,18.54,-1.04,-5.6095,53283.18,95984.385,
20,20,603617.SH,20200306,17.05,18.59,17.05,18.54,17.65,0.89,5.0425,77131.74,139348.989,-0.14994606256742177
21,21,603617.SH,20200305,17.62,18.17,17.5,17.65,17.62,0.03,0.1703,70668.44,125884.29400000001,-0.13031161473087813
22,22,603617.SH,20200304,17.05,18.53,17.05,17.62,17.49,0.13,0.7433,115707.34,206676.32,-0.1464245175936437
23,23,603617.SH,20200303,17.14,17.58,17.14,17.49,17.1,0.39,2.2807,53546.8,92957.808,-0.15265866209262427
24,24,603617.SH,20200302,16.46,17.13,16.4,17.1,16.04,1.06,6.6085,39562.55,66588.813,-0.16608187134502933
25,25,603617.SH,20200228,16.38,16.69,15.8,16.04,16.58,-0.54,-3.2569,32939.0,53336.672999999995,-0.1003740648379052
26,26,603617.SH,20200227,16.97,17.17,16.37,16.58,16.93,-0.35,-2.0673,25365.2,42483.442,-0.13449939686369114
27,27,603617.SH,20200226,16.95,17.59,16.86,16.93,17.07,-0.14,-0.8202,37541.6,64457.708,-0.14530419373892492
28,28,603617.SH,20200225,16.18,17.22,15.81,17.07,16.74,0.33,1.9713,41708.61,69827.72099999999,-0.1886350322202695
29,29,603617.SH,20200224,16.62,16.96,16.3,16.74,16.62,0.12,0.722,28357.4,47072.246,-0.19593787335722807
30,30,603617.SH,20200221,16.17,16.67,16.06,16.62,16.05,0.57,3.5514,33247.2,54460.843,-0.1528279181708785
31,31,603617.SH,20200220,15.8,16.15,15.68,16.05,15.89,0.16,1.0069,26367.6,42014.855,-0.1489096573208723
32,32,603617.SH,20200219,15.8,16.15,15.52,15.89,15.67,0.22,1.4040000000000001,50531.0,79937.239,-0.13215859030837013
33,33,603617.SH,20200218,15.09,15.69,15.06,15.67,15.06,0.61,4.0505,24662.23,37925.863,-0.06381620931716656
34,34,603617.SH,20200217,14.79,15.19,14.67,15.06,14.66,0.4,2.7285,21288.6,31802.395,0.08233731739707836
35,35,603617.SH,20200214,14.79,14.89,14.5,14.66,14.79,-0.13,-0.879,20274.2,29794.332000000002,0.11732605729877209
36,36,603617.SH,20200213,14.81,15.31,14.58,14.79,14.78,0.01,0.0677,20462.26,30419.812,0.1095334685598378
37,37,603617.SH,20200212,14.15,14.95,14.12,14.78,14.22,0.56,3.9381,20790.8,30408.916,0.12990527740189445
38,38,603617.SH,20200211,14.25,14.43,14.13,14.22,14.18,0.04,0.2821,20990.86,29926.275,0.20886075949367092
39,39,603617.SH,20200210,13.82,14.22,13.74,14.18,13.84,0.34,2.4566,23731.6,33135.29,0.23413258110014107
40,40,603617.SH,20200207,13.63,13.96,13.63,13.84,13.7,0.14,1.0219,21480.46,29597.642000000003,0.3395953757225433
41,41,603617.SH,20200206,13.27,13.85,13.27,13.7,13.58,0.12,0.8837,23491.66,32241.391,0.28832116788321166
42,42,603617.SH,20200205,13.23,13.87,13.06,13.58,13.08,0.5,3.8226,29708.2,40173.426,0.29749631811487487
43,43,603617.SH,20200204,12.1,13.37,12.1,13.08,13.44,-0.36,-2.6786,41499.71,52867.112,0.33715596330275216
44,44,603617.SH,20200203,13.44,13.44,13.44,13.44,14.93,-1.49,-9.9799,5307.0,7132.608,0.2723214285714287
45,45,603617.SH,20200123,15.48,15.5,14.7,14.93,15.19,-0.26,-1.7117,26507.4,39822.234,0.0743469524447421
46,46,603617.SH,20200122,14.92,15.47,14.53,15.19,14.75,0.44,2.9831,38507.0,58073.233,0.0915075707702435
47,47,603617.SH,20200121,16.29,16.39,14.65,14.75,16.28,-1.53,-9.398,70770.0,106774.24900000001,0.1477966101694915
48,48,603617.SH,20200120,16.6,16.65,16.17,16.28,16.63,-0.35,-2.1046,21263.2,34686.212999999996,0.04852579852579847
49,49,603617.SH,20200117,17.01,17.3,16.38,16.63,17.57,-0.94,-5.35,42198.35,71023.745,0.006614552014431716
50,50,603617.SH,20200116,17.3,18.24,16.63,17.57,17.9,-0.33,-1.8436,69498.21,121848.013,-0.05406943653955602
51,51,603617.SH,20200115,15.5,18.01,15.31,17.9,16.37,1.53,9.3464,99274.61,167286.719,-0.10335195530726246
52,52,603617.SH,20200114,18.35,19.55,16.37,16.37,18.19,-1.82,-10.0055,140237.8,255406.41199999998,-0.02932193036041542
53,53,603617.SH,20200113,17.52,18.31,17.32,18.19,17.82,0.37,2.0763,44215.79,78963.774,-0.13853765805387583
54,54,603617.SH,20200110,17.73,17.82,16.91,17.82,17.4,0.42,2.4138,65739.86,115063.841,-0.15488215488215487
55,55,603617.SH,20200109,16.48,17.45,16.48,17.4,16.48,0.92,5.5825,61185.76,104112.54400000001,-0.15747126436781603
56,56,603617.SH,20200108,16.51,16.82,16.41,16.48,16.75,-0.27,-1.6119,31491.93,52269.94,-0.10254854368932047
57,57,603617.SH,20200107,16.44,16.77,15.8,16.75,16.35,0.4,2.4465,54963.16,90401.207,-0.1176119402985075
58,58,603617.SH,20200106,15.07,16.58,14.98,16.35,15.11,1.24,8.2065,78745.6,125439.871,-0.1302752293577982
59,59,603617.SH,20200103,14.98,15.2,14.85,15.11,14.94,0.17,1.1379,30026.45,45185.39,-0.061548643282594295
60,60,603617.SH,20200102,14.81,14.98,14.55,14.94,14.68,0.26,1.7711,37954.43,56035.53400000001,-0.07362784471218203
61,61,603617.SH,20191231,14.4,14.94,14.3,14.68,14.73,-0.05,-0.3394,45218.44,66109.66900000001,-0.06675749318801093
62,62,603617.SH,20191230,14.95,15.48,14.7,14.73,15.22,-0.49,-3.2194,75767.14,115053.01699999999,-0.07807196198234898
63,63,603617.SH,20191227,14.53,15.6,14.27,15.22,14.48,0.74,5.1105,92909.81,138834.159,-0.14060446780551908
64,64,603617.SH,20191226,14.22,14.62,13.95,14.48,14.28,0.2,1.4006,64271.96,92110.30300000001,-0.07182320441988957
65,65,603617.SH,20191225,13.65,14.3,13.55,14.28,13.75,0.53,3.8545,67842.15,94876.46699999999,0.04551820728291319
66,66,603617.SH,20191224,12.99,14.13,12.99,13.75,12.99,0.76,5.8507,61474.1,83915.08,0.1047272727272727
67,67,603617.SH,20191223,13.46,13.46,12.9,12.99,13.57,-0.58,-4.2741,21654.2,28369.83,0.1354888375673595
68,68,603617.SH,20191220,13.47,13.74,13.44,13.57,13.47,0.1,0.7424,20410.85,27729.995,0.19970523212969793
69,69,603617.SH,20191219,13.39,13.47,13.23,13.47,13.39,0.08,0.5975,7895.8,10585.048999999999,0.23459539717891598
70,70,603617.SH,20191218,13.36,13.51,13.34,13.39,13.39,0.0,0.0,9573.6,12836.683,0.31217326362957426
71,71,603617.SH,20191217,13.29,13.45,13.21,13.39,13.24,0.15,1.1329,14094.6,18839.747,0.33681852128454054
72,72,603617.SH,20191216,13.34,13.35,13.1,13.24,13.09,0.15,1.1459,9036.4,11937.033000000001,0.23640483383685806
73,73,603617.SH,20191213,13.17,13.17,13.01,13.09,13.01,0.08,0.6149,8415.49,10996.056999999999,0.38961038961038974
74,74,603617.SH,20191212,13.25,13.25,13.01,13.01,13.16,-0.15,-1.1398,7291.03,9556.3,0.36971560338201387
75,75,603617.SH,20191211,13.28,13.28,13.12,13.16,13.2,-0.04,-0.303,6768.6,8921.841999999999,0.3221884498480242
76,76,603617.SH,20191210,13.23,13.26,13.08,13.2,13.22,-0.02,-0.1513,9701.3,12776.056999999999,0.24848484848484859
77,77,603617.SH,20191209,13.0,13.28,13.0,13.22,13.0,0.22,1.6923,16974.7,22383.502,0.26701966717095305
78,78,603617.SH,20191206,12.86,13.06,12.86,13.0,12.85,0.15,1.1673,13791.23,17890.733,0.2576923076923078
79,79,603617.SH,20191205,12.77,12.92,12.75,12.85,12.82,0.03,0.23399999999999999,8873.03,11401.48,0.17587548638132294
80,80,603617.SH,20191204,12.72,12.88,12.72,12.82,12.82,0.0,0.0,7845.4,10032.25,0.16536661466458652
81,81,603617.SH,20191203,12.58,12.89,12.2,12.82,12.58,0.24,1.9078,12594.8,15952.43,0.14508580343213723
82,82,603617.SH,20191202,12.68,12.7,12.52,12.58,12.7,-0.12,-0.9449,6797.2,8563.541,0.17090620031796505
83,83,603617.SH,20191129,12.56,12.75,12.51,12.7,12.66,0.04,0.316,9331.4,11768.764,0.1984251968503938
84,84,603617.SH,20191128,12.76,12.84,12.65,12.66,12.86,-0.2,-1.5552,7275.8,9260.804,0.14375987361769355
85,85,603617.SH,20191127,12.83,12.93,12.72,12.86,12.83,0.03,0.2338,6790.1,8717.81,0.1104199066874028
86,86,603617.SH,20191126,12.79,12.85,12.67,12.83,12.76,0.07,0.5486,7963.6,10171.791,0.07170693686671863
87,87,603617.SH,20191125,12.88,12.88,12.63,12.76,12.82,-0.06,-0.46799999999999997,6886.8,8782.443000000001,0.01802507836990599
88,88,603617.SH,20191122,12.81,13.04,12.72,12.82,12.84,-0.02,-0.1558,6176.0,7938.593000000001,0.05850234009360374
89,89,603617.SH,20191121,12.96,12.96,12.73,12.84,12.86,-0.02,-0.1555,4756.65,6094.01,0.049065420560747725
90,90,603617.SH,20191120,12.95,13.09,12.82,12.86,12.93,-0.07,-0.5414,6568.0,8491.289,0.04121306376360818
91,91,603617.SH,20191119,12.71,12.98,12.71,12.93,12.81,0.12,0.9368,7701.74,9941.963,0.035576179427687614
92,92,603617.SH,20191118,12.6,12.85,12.51,12.81,12.6,0.21,1.6667,9172.0,11695.403,0.033567525370804034
93,93,603617.SH,20191115,12.82,12.85,12.59,12.6,12.82,-0.22,-1.7161,8734.0,11090.913999999999,0.03888888888888891
94,94,603617.SH,20191114,12.85,12.88,12.72,12.82,12.79,0.03,0.2346,6003.4,7690.486999999999,0.01482059282371291
95,95,603617.SH,20191113,12.71,12.83,12.7,12.79,12.78,0.01,0.0782,6448.0,8242.216,0.028928850664581784
96,96,603617.SH,20191112,12.77,12.85,12.58,12.78,12.76,0.02,0.1567,10085.89,12805.683,0.03286384976525821
97,97,603617.SH,20191111,13.48,13.5,12.63,12.76,13.5,-0.74,-5.4815,22014.8,28467.996,0.03605015673981198
98,98,603617.SH,20191108,13.6,13.67,13.46,13.5,13.59,-0.09,-0.6623,6920.6,9393.815,-0.037037037037037035
99,99,603617.SH,20191107,13.51,13.69,13.48,13.59,13.57,0.02,0.1474,6108.8,8295.874,-0.054451802796173676
100,100,603617.SH,20191106,13.8,13.82,13.48,13.57,13.77,-0.2,-1.4524,8545.8,11643.934,-0.0552689756816507
101,101,603617.SH,20191105,13.74,13.81,13.43,13.77,13.74,0.03,0.2183,10756.6,14710.577,-0.06899055918663757
102,102,603617.SH,20191104,13.68,13.88,13.68,13.74,13.66,0.08,0.5857,9237.39,12730.093,-0.0844250363901019
103,103,603617.SH,20191101,13.61,13.71,13.37,13.66,13.56,0.1,0.7375,10053.0,13634.053,-0.07027818448023432
104,104,603617.SH,20191031,13.9,14.0,13.5,13.56,13.9,-0.34,-2.4459999999999997,13508.0,18547.015,-0.06637168141592922
105,105,603617.SH,20191030,13.95,14.03,13.82,13.9,14.05,-0.15,-1.0676,9293.4,12927.41,-0.07482014388489215
106,106,603617.SH,20191029,14.28,14.28,14.02,14.05,14.19,-0.14,-0.9866,9918.54,13993.636999999999,-0.08683274021352318
107,107,603617.SH,20191028,14.1,14.2,14.01,14.19,14.09,0.1,0.7097,12222.95,17277.017,-0.1007751937984496
108,108,603617.SH,20191025,13.97,14.15,13.9,14.09,14.03,0.06,0.4277,9927.14,13897.693000000001,-0.09013484740951026
109,109,603617.SH,20191024,14.05,14.17,13.9,14.03,14.29,-0.26,-1.8195,17105.8,23982.28,-0.08481824661439769
