ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20180102,9.09,9.09,8.5,8.86,9.09,-0.23,-2.53,70207.02,61971.242
300256.SZ,20180103,8.81,8.91,8.74,8.86,8.86,0.0,0.0,66914.04,59062.19
300256.SZ,20180104,8.86,8.89,8.57,8.7,8.86,-0.16,-1.81,79788.5,69883.016
300256.SZ,20180105,8.69,8.75,8.61,8.74,8.7,0.04,0.46,50013.52,43460.453
300256.SZ,20180108,8.73,8.74,8.6,8.65,8.74,-0.09,-1.03,39834.17,34418.488
300256.SZ,20180109,8.67,8.76,8.66,8.67,8.65,0.02,0.23,27469.17,23896.16
300256.SZ,20180110,8.68,8.72,8.5,8.62,8.67,-0.05,-0.58,52548.02,45185.026
300256.SZ,20180111,8.62,8.72,8.56,8.7,8.62,0.08,0.93,44163.01,38270.246
300256.SZ,20180112,8.71,8.75,8.6,8.67,8.7,-0.03,-0.34,38237.0,33249.886
300256.SZ,20180115,8.73,8.76,8.5,8.54,8.67,-0.13,-1.5,55441.82,47620.71
300256.SZ,20180116,8.58,8.66,8.45,8.6,8.54,0.06,0.7,44563.58,38053.053
300256.SZ,20180117,8.64,8.69,8.53,8.68,8.6,0.08,0.93,49516.0,42704.688
300256.SZ,20180118,8.66,8.73,8.6,8.61,8.68,-0.07,-0.81,40000.34,34595.088
300256.SZ,20180119,8.67,8.75,8.65,8.67,8.61,0.06,0.7,52926.9,46040.416
300256.SZ,20180122,8.71,8.87,8.63,8.81,8.67,0.14,1.61,72780.0,64007.528
300256.SZ,20180123,8.87,8.89,8.7,8.71,8.81,-0.1,-1.14,41960.47,36782.651
300256.SZ,20180124,8.76,8.78,8.62,8.76,8.71,0.05,0.57,37666.25,32829.539
300256.SZ,20180125,8.74,8.85,8.65,8.71,8.76,-0.05,-0.57,54328.27,47643.846
300256.SZ,20180126,8.69,8.96,8.64,8.75,8.71,0.04,0.46,47143.04,41436.92
300256.SZ,20180129,8.71,8.79,8.51,8.55,8.75,-0.2,-2.29,54005.04,46446.947
300256.SZ,20180130,8.53,8.59,8.4,8.43,8.55,-0.12,-1.4,44625.0,37777.728
300256.SZ,20180131,8.47,8.47,7.59,7.6,8.43,-0.83,-9.85,129633.17,99857.115
300256.SZ,20180201,7.61,7.66,6.84,6.84,7.6,-0.76,-10.0,137228.0,96412.955
300256.SZ,20180202,6.16,6.7,6.16,6.52,6.84,-0.32,-4.68,260130.29,164366.159
300256.SZ,20180205,6.15,6.44,6.15,6.16,6.52,-0.36,-5.52,98671.3,62114.464
300256.SZ,20180206,6.14,6.28,5.79,5.79,6.16,-0.37,-6.01,100835.6,61071.171
300256.SZ,20180214,6.37,6.37,6.37,6.37,5.79,0.58,10.02,66267.23,42212.225
300256.SZ,20180222,6.39,6.85,6.32,6.71,6.37,0.34,5.34,186056.28,123522.718
300256.SZ,20180223,6.66,6.66,6.45,6.51,6.71,-0.2,-2.98,87418.91,56898.29
300256.SZ,20180226,6.77,6.77,6.55,6.61,6.51,0.1,1.54,78080.09,51786.437
300256.SZ,20180227,6.54,6.87,6.53,6.7,6.61,0.09,1.36,99551.62,66877.495
300256.SZ,20180228,6.61,6.85,6.59,6.78,6.7,0.08,1.19,80028.97,54186.309
300256.SZ,20180301,6.74,6.97,6.7,6.91,6.78,0.13,1.92,77961.09,53450.406
300256.SZ,20180302,6.85,6.95,6.76,6.81,6.91,-0.1,-1.45,66190.88,45298.045
300256.SZ,20180305,6.8,6.9,6.78,6.83,6.81,0.02,0.29,36288.71,24810.442
300256.SZ,20180306,6.82,6.96,6.82,6.91,6.83,0.08,1.17,64596.08,44520.535
300256.SZ,20180307,7.02,7.23,6.93,6.94,6.91,0.03,0.43,92891.0,65520.945
300256.SZ,20180308,6.85,6.95,6.85,6.89,6.94,-0.05,-0.72,57949.02,39894.202
300256.SZ,20180309,6.85,7.16,6.85,7.12,6.89,0.23,3.34,115021.0,81089.537
300256.SZ,20180312,7.11,7.39,7.11,7.31,7.12,0.19,2.67,125500.13,91003.066
300256.SZ,20180313,7.29,7.38,7.18,7.26,7.31,-0.05,-0.68,106011.22,77056.589
300256.SZ,20180314,7.21,7.26,7.03,7.07,7.26,-0.19,-2.62,78800.97,56232.983
300256.SZ,20180315,7.05,7.05,6.73,6.9,7.07,-0.17,-2.4,105834.44,72683.839
300256.SZ,20180316,6.95,7.22,6.94,7.07,6.9,0.17,2.46,137919.32,97820.456
300256.SZ,20180319,6.96,7.15,6.92,7.03,7.07,-0.04,-0.57,84767.16,59884.311
300256.SZ,20180320,6.96,7.5,6.96,7.26,7.03,0.23,3.27,157889.56,113713.381
300256.SZ,20180321,7.21,7.27,7.03,7.06,7.26,-0.2,-2.75,128918.15,92371.449
300256.SZ,20180322,7.02,7.2,7.02,7.07,7.06,0.01,0.14,74620.34,53136.285
300256.SZ,20180323,6.89,6.89,6.36,6.36,7.07,-0.71,-10.04,163564.15,107004.402
300256.SZ,20180326,6.28,6.56,6.28,6.54,6.36,0.18,2.83,89375.0,57721.989
300256.SZ,20180327,6.63,6.81,6.54,6.79,6.54,0.25,3.82,95289.73,63954.795
300256.SZ,20180328,6.68,6.9,6.66,6.8,6.79,0.01,0.15,87468.22,59437.407
300256.SZ,20180329,6.81,6.96,6.79,6.91,6.8,0.11,1.62,78825.98,54309.796
300256.SZ,20180330,6.91,7.26,6.91,7.19,6.91,0.28,4.05,153778.14,110058.854
300256.SZ,20180402,7.18,7.43,7.12,7.25,7.19,0.06,0.83,150946.15,110010.024
300256.SZ,20180403,7.15,7.37,7.12,7.31,7.25,0.06,0.83,116717.02,84998.621
300256.SZ,20180404,7.31,7.38,7.09,7.13,7.31,-0.18,-2.46,87493.0,63132.277
300256.SZ,20180409,7.06,7.26,7.0,7.24,7.13,0.11,1.54,92340.0,66105.04
300256.SZ,20180410,7.25,7.26,7.04,7.18,7.24,-0.06,-0.83,86581.0,61760.638
300256.SZ,20180411,7.25,7.54,7.2,7.27,7.18,0.09,1.25,148824.55,109507.533
300256.SZ,20180412,7.25,7.32,7.18,7.3,7.27,0.03,0.41,104583.0,75837.926
