,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300670.SZ,20200403,7.36,7.57,7.36,7.39,7.48,-0.09,-1.2032,32050.4,23853.627
1,300670.SZ,20200402,7.13,7.48,7.13,7.48,7.27,0.21,2.8886,36701.8,26930.757
2,300670.SZ,20200401,7.24,7.49,7.24,7.27,7.24,0.03,0.4144,34469.62,25419.525
3,300670.SZ,20200331,7.72,7.75,7.23,7.24,7.59,-0.35,-4.6113,55389.3,41334.48
4,300670.SZ,20200330,8.02,8.2,7.51,7.59,8.26,-0.67,-8.1114,91180.91,70500.687
5,300670.SZ,20200327,8.76,8.95,8.21,8.26,8.76,-0.5,-5.7078,113021.6,96171.877
6,300670.SZ,20200326,8.83,9.4,8.7,8.76,8.96,-0.2,-2.2321,139420.61,125608.376
7,300670.SZ,20200325,9.06,9.06,8.76,8.96,9.02,-0.06,-0.6652,149417.61,132566.704
8,300670.SZ,20200324,8.74,9.18,8.47,9.02,8.63,0.39,4.5191,205756.63,181505.959
9,300670.SZ,20200323,8.0,8.94,7.98,8.63,8.41,0.22,2.6159,160973.83,137522.972
10,300670.SZ,20200320,8.2,8.45,8.01,8.41,8.07,0.34,4.2131,120163.2,99289.81
11,300670.SZ,20200319,7.79,8.18,7.6,8.07,7.87,0.2,2.5413,84621.0,66593.61
12,300670.SZ,20200318,8.37,8.49,7.81,7.87,8.34,-0.47,-5.6355,110243.22,90601.475
13,300670.SZ,20200317,8.17,8.55,7.61,8.34,8.2,0.14,1.7073,129366.39,104519.045
14,300670.SZ,20200316,9.28,9.3,8.18,8.2,9.07,-0.87,-9.5921,167352.52,146065.318
15,300670.SZ,20200313,8.5,9.8,8.5,9.07,8.95,0.12,1.3408,237869.11,219186.162
16,300670.SZ,20200312,8.19,8.95,8.18,8.95,8.5,0.45,5.2941,132061.3,112869.629
17,300670.SZ,20200311,8.64,9.09,8.5,8.5,8.85,-0.35,-3.9548,156402.09,137125.41
18,300670.SZ,20200310,8.01,8.88,7.76,8.85,8.29,0.56,6.7551,181397.35,151535.078
19,300670.SZ,20200309,8.61,8.98,8.1,8.29,8.62,-0.33,-3.8283,238460.83,204677.598
20,300670.SZ,20200306,7.65,8.62,7.61,8.62,7.84,0.78,9.949,126836.94,103691.741
21,300670.SZ,20200305,7.65,8.05,7.57,7.84,7.5,0.34,4.5333,113831.32,88382.557
22,300670.SZ,20200304,7.31,7.57,7.31,7.5,7.61,-0.11,-1.4455,81519.2,60628.294
23,300670.SZ,20200303,8.35,8.35,7.51,7.61,7.6,0.01,0.1316,156826.52,123909.489
24,300670.SZ,20200302,7.09,7.6,7.01,7.6,6.91,0.69,9.9855,32426.69,24150.097
25,300670.SZ,20200228,7.31,7.47,6.86,6.91,7.61,-0.7,-9.1984,52455.6,37480.784
26,300670.SZ,20200227,7.6,7.67,7.46,7.61,7.56,0.05,0.6614,39471.9,29923.204
27,300670.SZ,20200226,7.46,7.75,7.28,7.56,7.51,0.05,0.6658,49768.5,37723.68
28,300670.SZ,20200225,7.46,7.59,7.16,7.51,7.69,-0.18,-2.3407,52002.2,38560.031
29,300670.SZ,20200224,7.53,7.7,7.48,7.69,7.59,0.1,1.3175,43735.77,33282.909
30,300670.SZ,20200221,7.69,7.69,7.53,7.59,7.57,0.02,0.2642,37715.1,28599.394
31,300670.SZ,20200220,7.5,7.58,7.38,7.57,7.41,0.16,2.1592,36875.64,27675.213
32,300670.SZ,20200219,7.48,7.57,7.41,7.41,7.59,-0.18,-2.3715,39174.9,29370.651
33,300670.SZ,20200218,7.31,7.59,7.28,7.59,7.29,0.3,4.1152,59112.2,43868.223
34,300670.SZ,20200217,6.99,7.45,6.99,7.29,6.98,0.31,4.4413,52444.33,38169.517
35,300670.SZ,20200214,6.98,7.1,6.94,6.98,7.01,-0.03,-0.428,19390.1,13611.615
36,300670.SZ,20200213,7.11,7.28,7.01,7.01,7.15,-0.14,-1.958,32359.57,22982.439
37,300670.SZ,20200212,6.98,7.18,6.96,7.15,7.04,0.11,1.5625,28408.87,20169.878
38,300670.SZ,20200211,7.0,7.1,7.0,7.04,7.05,-0.01,-0.1418,32486.9,22901.084
39,300670.SZ,20200210,6.88,7.1,6.86,7.05,6.93,0.12,1.7316,29050.37,20383.412
40,300670.SZ,20200207,6.87,6.95,6.73,6.93,6.82,0.11,1.6129,40542.2,27702.721
