ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600029.SH,20180102,11.89,11.9,11.18,11.4,11.92,-0.52,-4.36,1784805.8,2030111.996
600029.SH,20180103,11.4,12.1,11.07,11.94,11.4,0.54,4.74,1963721.54,2283882.169
600029.SH,20180104,11.63,11.72,11.3,11.41,11.94,-0.53,-4.44,1641799.33,1881729.983
600029.SH,20180105,11.41,11.61,11.14,11.17,11.41,-0.24,-2.1,1288555.34,1459497.195
600029.SH,20180108,11.9,12.13,11.39,11.6,11.17,0.43,3.85,3187655.9,3761946.561
600029.SH,20180109,11.64,11.98,11.48,11.83,11.6,0.23,1.98,1667562.3,1966842.446
600029.SH,20180110,11.4,11.64,11.26,11.48,11.83,-0.35,-2.96,1442784.66,1648280.443
600029.SH,20180111,11.42,11.42,11.04,11.29,11.48,-0.19,-1.66,1256268.52,1405244.809
600029.SH,20180112,11.28,11.42,11.18,11.24,11.29,-0.05,-0.44,766163.67,865597.293
600029.SH,20180115,11.21,11.52,11.21,11.32,11.24,0.08,0.71,1059716.42,1205362.589
600029.SH,20180116,11.22,11.25,10.67,10.91,11.32,-0.41,-3.62,2109130.44,2289995.302
600029.SH,20180117,10.81,11.0,10.29,10.44,10.91,-0.47,-4.31,1997270.12,2108331.554
600029.SH,20180118,10.46,10.69,10.36,10.56,10.44,0.12,1.15,1301253.6,1371925.673
600029.SH,20180119,10.65,10.93,10.3,10.58,10.56,0.02,0.19,2808618.87,2987522.269
600029.SH,20180122,10.6,10.93,10.57,10.66,10.58,0.08,0.76,2509329.25,2690508.262
600029.SH,20180123,10.73,10.88,10.36,10.56,10.66,-0.1,-0.94,2469520.99,2619861.251
600029.SH,20180124,10.54,10.68,10.33,10.58,10.56,0.02,0.19,1816883.46,1908494.536
600029.SH,20180125,10.49,11.15,10.33,10.93,10.58,0.35,3.31,3267985.92,3527245.081
600029.SH,20180126,11.0,11.59,11.0,11.41,10.93,0.48,4.39,3032958.1,3449479.487
600029.SH,20180129,11.33,11.74,11.3,11.45,11.41,0.04,0.35,2021321.44,2320230.214
600029.SH,20180130,11.38,11.96,11.3,11.77,11.45,0.32,2.79,1887503.77,2212552.562
600029.SH,20180131,11.63,11.9,11.48,11.77,11.77,0.0,0.0,1332381.96,1561349.639
600029.SH,20180201,11.92,12.25,11.83,11.95,11.77,0.18,1.53,1986854.22,2391622.759
600029.SH,20180202,11.66,11.98,11.44,11.82,11.95,-0.13,-1.09,1273061.98,1492498.465
600029.SH,20180205,11.7,12.85,11.61,12.79,11.82,0.97,8.21,2254585.74,2786474.993
600029.SH,20180206,12.5,12.83,12.2,12.46,12.79,-0.33,-2.58,2140204.19,2680639.637
600029.SH,20180207,12.86,12.95,11.73,11.82,12.46,-0.64,-5.14,2145649.06,2645482.523
600029.SH,20180208,11.57,12.04,11.09,11.48,11.82,-0.34,-2.88,1605997.01,1852566.521
600029.SH,20180209,10.86,11.09,10.48,10.82,11.48,-0.66,-5.75,1660910.54,1784433.132
600029.SH,20180212,10.99,11.55,10.93,11.17,10.82,0.35,3.23,1420673.94,1597252.074
600029.SH,20180213,11.43,11.64,11.23,11.43,11.17,0.26,2.33,947114.1,1083541.363
600029.SH,20180214,11.4,11.4,11.08,11.3,11.43,-0.13,-1.14,643582.29,724101.123
600029.SH,20180222,11.7,12.43,11.65,12.38,11.3,1.08,9.56,1784718.2,2156659.252
600029.SH,20180223,12.25,12.31,12.06,12.29,12.38,-0.09,-0.73,893420.56,1088978.667
600029.SH,20180226,12.33,12.67,12.18,12.58,12.29,0.29,2.36,1342786.1,1667327.691
600029.SH,20180227,12.54,12.54,11.98,12.08,12.58,-0.5,-3.97,1392416.79,1694565.05
