,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688389.SH,20200403,19.06,20.98,18.85,20.95,19.13,1.82,9.5139,47107.08,95826.947
1,688389.SH,20200402,18.53,19.16,18.31,19.13,18.53,0.6,3.238,16138.19,30353.212
2,688389.SH,20200401,18.65,18.78,18.22,18.53,18.45,0.08,0.4336,13712.03,25387.104
3,688389.SH,20200331,19.69,19.74,18.27,18.45,19.16,-0.71,-3.7056,22591.07,42100.313
4,688389.SH,20200330,20.48,20.62,19.12,19.16,20.61,-1.45,-7.0354,20259.48,40189.387
5,688389.SH,20200327,21.34,21.62,20.39,20.61,21.46,-0.85,-3.9609,33204.47,69601.42
6,688389.SH,20200326,20.58,21.8,19.85,21.46,20.39,1.07,5.2477,43899.95,92300.296
7,688389.SH,20200325,20.9,20.9,20.18,20.39,20.1,0.29,1.4428,25872.33,52785.253
8,688389.SH,20200324,19.59,20.29,19.59,20.1,19.47,0.63,3.2357,32339.26,64613.295
9,688389.SH,20200323,18.95,20.5,18.68,19.47,19.07,0.4,2.0975,40828.75,80910.654
10,688389.SH,20200320,19.02,19.27,18.6,19.07,18.7,0.37,1.9786,20158.66,38314.907
11,688389.SH,20200319,18.9,19.16,18.24,18.7,18.36,0.34,1.8519,18317.88,34151.452
12,688389.SH,20200318,19.09,19.28,18.1,18.36,18.7,-0.34,-1.8182,22742.68,42789.008
13,688389.SH,20200317,19.23,19.65,17.58,18.7,19.15,-0.45,-2.3499,26442.63,48839.479
14,688389.SH,20200316,20.0,20.66,19.05,19.15,19.75,-0.6,-3.038,27919.27,55665.162
15,688389.SH,20200313,19.0,20.28,18.8,19.75,20.78,-1.03,-4.9567,29074.9,57304.691
16,688389.SH,20200312,21.22,21.66,20.71,20.78,21.22,-0.44,-2.0735,20745.17,43750.653
17,688389.SH,20200311,21.63,21.91,21.15,21.22,21.62,-0.4,-1.8501,26018.21,55992.732
18,688389.SH,20200310,21.5,22.2,20.22,21.62,22.4,-0.78,-3.4821,44636.57,94159.697
19,688389.SH,20200309,22.49,23.44,22.2,22.4,22.48,-0.08,-0.3559,32135.05,73507.638
20,688389.SH,20200306,22.2,23.1,22.02,22.48,22.21,0.27,1.2157,28519.6,64779.244
21,688389.SH,20200305,22.69,22.83,22.11,22.21,22.47,-0.26,-1.1571,23475.94,52447.451
22,688389.SH,20200304,22.7,23.2,22.01,22.47,23.1,-0.63,-2.7273,27338.35,61549.117
23,688389.SH,20200303,23.9,24.19,22.73,23.1,23.2,-0.1,-0.431,39043.28,91771.117
24,688389.SH,20200302,22.77,23.55,22.33,23.2,22.62,0.58,2.5641,34337.31,79002.054
25,688389.SH,20200228,21.0,23.46,21.0,22.62,22.53,0.09,0.3995,44907.42,101305.913
26,688389.SH,20200227,23.65,23.7,22.39,22.53,23.0,-0.47,-2.0435,34835.21,79780.695
27,688389.SH,20200226,25.2,26.45,22.9,23.0,25.89,-2.89,-11.1626,70058.69,174085.403
28,688389.SH,20200225,24.84,26.62,24.5,25.89,25.2,0.69,2.7381,76665.88,197491.295
29,688389.SH,20200224,24.1,25.34,24.1,25.2,24.03,1.17,4.8689,52094.44,129634.692
30,688389.SH,20200221,23.8,24.5,23.64,24.03,23.64,0.39,1.6497,44880.13,108503.539
31,688389.SH,20200220,23.65,24.2,23.33,23.64,23.32,0.32,1.3722,39215.22,93066.642
32,688389.SH,20200219,24.6,24.79,23.32,23.32,24.62,-1.3,-5.2803,45745.45,109856.577
33,688389.SH,20200218,24.83,25.1,23.93,24.62,24.72,-0.1,-0.4045,47273.07,116275.465
34,688389.SH,20200217,24.3,25.4,23.86,24.72,24.32,0.4,1.6447,48667.82,120223.604
35,688389.SH,20200214,26.2,26.7,24.11,24.32,26.15,-1.83,-6.9981,76653.03,193842.922
36,688389.SH,20200213,25.35,26.98,24.58,26.15,25.58,0.57,2.2283,91907.49,237688.14
37,688389.SH,20200212,24.31,26.18,24.19,25.58,25.19,0.39,1.5482,70928.8,179639.479
38,688389.SH,20200211,25.0,26.58,24.1,25.19,25.12,0.07,0.2787,79243.08,202421.446
39,688389.SH,20200210,27.29,27.29,24.12,25.12,27.36,-2.24,-8.1871,98830.06,250858.008
40,688389.SH,20200207,29.05,30.83,26.41,27.36,28.88,-1.52,-5.2632,120620.11,342220.513
41,688389.SH,20200206,26.25,31.5,25.65,28.88,26.99,1.89,7.0026,169241.25,479878.894
42,688389.SH,20200205,21.98,26.99,21.84,26.99,22.51,4.48,19.9023,166159.29,407778.428
43,688389.SH,20200204,21.28,25.08,19.56,22.51,22.38,0.13,0.5809,170245.85,386689.96
44,688389.SH,20200203,17.58,22.38,16.1,22.38,18.65,3.73,20.0,163093.37,323428.885
45,688389.SH,20200123,19.2,19.93,18.1,18.65,19.44,-0.79,-4.0638,48951.17,93018.509
46,688389.SH,20200122,19.7,20.0,18.51,19.44,20.1,-0.66,-3.2836,64604.97,123978.684
47,688389.SH,20200121,20.51,21.29,19.5,20.1,20.14,-0.04,-0.1986,74497.73,152340.569
48,688389.SH,20200120,19.5,20.55,18.92,20.14,19.08,1.06,5.5556,69175.17,136788.469
49,688389.SH,20200117,18.19,19.68,18.19,19.08,18.18,0.9,4.9505,73543.62,139127.083
50,688389.SH,20200116,17.99,18.48,17.83,18.18,17.99,0.19,1.0561,34323.11,62295.146
51,688389.SH,20200115,18.13,18.35,17.7,17.99,18.3,-0.31,-1.694,29570.87,53292.495
52,688389.SH,20200114,18.32,18.54,18.04,18.3,18.32,-0.02,-0.1092,43003.41,78616.651
53,688389.SH,20200113,17.75,18.39,17.45,18.32,17.75,0.57,3.2113,48003.94,86064.122
54,688389.SH,20200110,17.6,17.98,17.34,17.75,17.4,0.35,2.0115,43375.19,76641.859
55,688389.SH,20200109,17.35,17.61,17.27,17.4,17.22,0.18,1.0453,26712.82,46536.385
56,688389.SH,20200108,17.49,17.58,17.07,17.22,17.38,-0.16,-0.9206,36119.3,62659.556
57,688389.SH,20200107,16.93,17.5,16.93,17.38,16.93,0.45,2.658,34845.08,59992.955
58,688389.SH,20200106,16.83,17.13,16.65,16.93,16.98,-0.05,-0.2945,24624.79,41683.509
59,688389.SH,20200103,16.85,17.09,16.65,16.98,16.83,0.15,0.8913,32221.33,54357.793
