,exchange,cal_date,is_open
0,SZSE,20180101,0
1,SZSE,20180102,1
2,SZSE,20180103,1
3,SZSE,20180104,1
4,SZSE,20180105,1
5,SZSE,20180106,0
6,SZSE,20180107,0
7,SZSE,20180108,1
8,SZSE,20180109,1
9,SZSE,20180110,1
10,SZSE,20180111,1
11,SZSE,20180112,1
12,SZSE,20180113,0
13,SZSE,20180114,0
14,SZSE,20180115,1
15,SZSE,20180116,1
16,SZSE,20180117,1
17,SZSE,20180118,1
18,SZSE,20180119,1
19,SZSE,20180120,0
20,SZSE,20180121,0
21,SZSE,20180122,1
22,SZSE,20180123,1
23,SZSE,20180124,1
24,SZSE,20180125,1
25,SZSE,20180126,1
26,SZSE,20180127,0
27,SZSE,20180128,0
28,SZSE,20180129,1
29,SZSE,20180130,1
30,SZSE,20180131,1
31,SZSE,20180201,1
32,SZSE,20180202,1
33,SZSE,20180203,0
34,SZSE,20180204,0
35,SZSE,20180205,1
36,SZSE,20180206,1
37,SZSE,20180207,1
38,SZSE,20180208,1
39,SZSE,20180209,1
40,SZSE,20180210,0
41,SZSE,20180211,0
42,SZSE,20180212,1
43,SZSE,20180213,1
44,SZSE,20180214,1
45,SZSE,20180215,0
46,SZSE,20180216,0
47,SZSE,20180217,0
48,SZSE,20180218,0
49,SZSE,20180219,0
50,SZSE,20180220,0
51,SZSE,20180221,0
52,SZSE,20180222,1
53,SZSE,20180223,1
54,SZSE,20180224,0
55,SZSE,20180225,0
56,SZSE,20180226,1
57,SZSE,20180227,1
58,SZSE,20180228,1
59,SZSE,20180301,1
60,SZSE,20180302,1
61,SZSE,20180303,0
62,SZSE,20180304,0
63,SZSE,20180305,1
64,SZSE,20180306,1
65,SZSE,20180307,1
66,SZSE,20180308,1
67,SZSE,20180309,1
68,SZSE,20180310,0
69,SZSE,20180311,0
70,SZSE,20180312,1
71,SZSE,20180313,1
72,SZSE,20180314,1
73,SZSE,20180315,1
74,SZSE,20180316,1
75,SZSE,20180317,0
76,SZSE,20180318,0
77,SZSE,20180319,1
78,SZSE,20180320,1
79,SZSE,20180321,1
80,SZSE,20180322,1
81,SZSE,20180323,1
82,SZSE,20180324,0
83,SZSE,20180325,0
84,SZSE,20180326,1
85,SZSE,20180327,1
86,SZSE,20180328,1
87,SZSE,20180329,1
88,SZSE,20180330,1
89,SZSE,20180331,0
90,SZSE,20180401,0
91,SZSE,20180402,1
92,SZSE,20180403,1
93,SZSE,20180404,1
94,SZSE,20180405,0
95,SZSE,20180406,0
96,SZSE,20180407,0
97,SZSE,20180408,0
98,SZSE,20180409,1
99,SZSE,20180410,1
100,SZSE,20180411,1
101,SZSE,20180412,1
102,SZSE,20180413,1
103,SZSE,20180414,0
104,SZSE,20180415,0
105,SZSE,20180416,1
106,SZSE,20180417,1
107,SZSE,20180418,1
108,SZSE,20180419,1
109,SZSE,20180420,1
110,SZSE,20180421,0
111,SZSE,20180422,0
112,SZSE,20180423,1
113,SZSE,20180424,1
114,SZSE,20180425,1
115,SZSE,20180426,1
116,SZSE,20180427,1
117,SZSE,20180428,0
118,SZSE,20180429,0
119,SZSE,20180430,0
120,SZSE,20180501,0
121,SZSE,20180502,1
122,SZSE,20180503,1
123,SZSE,20180504,1
124,SZSE,20180505,0
125,SZSE,20180506,0
126,SZSE,20180507,1
127,SZSE,20180508,1
128,SZSE,20180509,1
129,SZSE,20180510,1
130,SZSE,20180511,1
131,SZSE,20180512,0
132,SZSE,20180513,0
133,SZSE,20180514,1
134,SZSE,20180515,1
135,SZSE,20180516,1
136,SZSE,20180517,1
137,SZSE,20180518,1
138,SZSE,20180519,0
139,SZSE,20180520,0
140,SZSE,20180521,1
141,SZSE,20180522,1
142,SZSE,20180523,1
143,SZSE,20180524,1
144,SZSE,20180525,1
145,SZSE,20180526,0
146,SZSE,20180527,0
147,SZSE,20180528,1
148,SZSE,20180529,1
149,SZSE,20180530,1
150,SZSE,20180531,1
151,SZSE,20180601,1
152,SZSE,20180602,0
153,SZSE,20180603,0
154,SZSE,20180604,1
155,SZSE,20180605,1
156,SZSE,20180606,1
157,SZSE,20180607,1
158,SZSE,20180608,1
159,SZSE,20180609,0
160,SZSE,20180610,0
161,SZSE,20180611,1
162,SZSE,20180612,1
163,SZSE,20180613,1
164,SZSE,20180614,1
165,SZSE,20180615,1
166,SZSE,20180616,0
167,SZSE,20180617,0
168,SZSE,20180618,0
169,SZSE,20180619,1
170,SZSE,20180620,1
171,SZSE,20180621,1
172,SZSE,20180622,1
173,SZSE,20180623,0
174,SZSE,20180624,0
175,SZSE,20180625,1
176,SZSE,20180626,1
177,SZSE,20180627,1
178,SZSE,20180628,1
179,SZSE,20180629,1
180,SZSE,20180630,0
181,SZSE,20180701,0
182,SZSE,20180702,1
183,SZSE,20180703,1
184,SZSE,20180704,1
185,SZSE,20180705,1
186,SZSE,20180706,1
187,SZSE,20180707,0
188,SZSE,20180708,0
189,SZSE,20180709,1
190,SZSE,20180710,1
191,SZSE,20180711,1
192,SZSE,20180712,1
193,SZSE,20180713,1
194,SZSE,20180714,0
195,SZSE,20180715,0
196,SZSE,20180716,1
197,SZSE,20180717,1
198,SZSE,20180718,1
199,SZSE,20180719,1
200,SZSE,20180720,1
201,SZSE,20180721,0
202,SZSE,20180722,0
203,SZSE,20180723,1
204,SZSE,20180724,1
205,SZSE,20180725,1
206,SZSE,20180726,1
207,SZSE,20180727,1
208,SZSE,20180728,0
209,SZSE,20180729,0
210,SZSE,20180730,1
211,SZSE,20180731,1
212,SZSE,20180801,1
213,SZSE,20180802,1
214,SZSE,20180803,1
215,SZSE,20180804,0
216,SZSE,20180805,0
217,SZSE,20180806,1
218,SZSE,20180807,1
219,SZSE,20180808,1
220,SZSE,20180809,1
221,SZSE,20180810,1
222,SZSE,20180811,0
223,SZSE,20180812,0
224,SZSE,20180813,1
225,SZSE,20180814,1
226,SZSE,20180815,1
227,SZSE,20180816,1
228,SZSE,20180817,1
229,SZSE,20180818,0
230,SZSE,20180819,0
231,SZSE,20180820,1
232,SZSE,20180821,1
233,SZSE,20180822,1
234,SZSE,20180823,1
235,SZSE,20180824,1
236,SZSE,20180825,0
237,SZSE,20180826,0
238,SZSE,20180827,1
239,SZSE,20180828,1
240,SZSE,20180829,1
241,SZSE,20180830,1
242,SZSE,20180831,1
243,SZSE,20180901,0
244,SZSE,20180902,0
245,SZSE,20180903,1
246,SZSE,20180904,1
247,SZSE,20180905,1
248,SZSE,20180906,1
249,SZSE,20180907,1
250,SZSE,20180908,0
251,SZSE,20180909,0
252,SZSE,20180910,1
253,SZSE,20180911,1
254,SZSE,20180912,1
255,SZSE,20180913,1
256,SZSE,20180914,1
257,SZSE,20180915,0
258,SZSE,20180916,0
259,SZSE,20180917,1
260,SZSE,20180918,1
261,SZSE,20180919,1
262,SZSE,20180920,1
263,SZSE,20180921,1
264,SZSE,20180922,0
265,SZSE,20180923,0
266,SZSE,20180924,0
267,SZSE,20180925,1
268,SZSE,20180926,1
269,SZSE,20180927,1
270,SZSE,20180928,1
271,SZSE,20180929,0
272,SZSE,20180930,0
273,SZSE,20181001,0
274,SZSE,20181002,0
275,SZSE,20181003,0
276,SZSE,20181004,0
277,SZSE,20181005,0
278,SZSE,20181006,0
279,SZSE,20181007,0
280,SZSE,20181008,1
281,SZSE,20181009,1
282,SZSE,20181010,1
283,SZSE,20181011,1
